frame_id,time_sec,update_ret,target_valid,major_fresh,finger_fresh,shoulder_l_x3d,shoulder_l_y3d,shoulder_l_z,shoulder_r_x3d,shoulder_r_y3d,shoulder_r_z,elbow_x3d,elbow_y3d,elbow_z,wrist_x3d,wrist_y3d,wrist_z,finger1_x3d,finger1_y3d,finger1_z,finger2_x3d,finger2_y3d,finger2_z,base_deg,shoulder_deg,elbow_deg,wrist_pitch_deg,wrist_roll_deg,gripper_norm
1,0.000000,-1,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0
2,0.066820,-1,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0
3,0.133641,-1,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0
4,0.200461,-1,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0
5,0.267281,-1,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0
6,0.334102,-1,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0
7,0.400922,-1,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0
8,0.467742,-1,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0
9,0.534563,-1,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0
10,0.601383,-1,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0
11,0.668204,-1,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0
12,0.735024,-1,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.0
13,0.801844,1,1,1,0,2.097574,-0.718755,8.014292,1.230891,-0.808431,7.523570,0.963474,-0.047777,7.562444,0.818620,0.440707,7.966055,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,41.105190,-74.202621,144.280243,0.000000,0.000000,1.0
14,0.868665,1,1,1,0,2.068939,-0.708934,7.963003,1.210612,-0.793187,7.464833,0.941848,-0.046436,7.503599,0.747097,0.428777,7.902307,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,41.105190,-74.202621,144.544128,0.000000,0.000000,1.0
15,0.935485,1,1,1,0,2.050837,-0.702279,7.918945,1.197274,-0.781300,7.414778,0.925174,-0.044206,7.453480,0.686027,0.416019,7.846852,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,41.486362,-73.758331,144.544128,0.000000,0.000000,1.0
16,1.002305,1,1,1,0,2.038445,-0.697531,7.880309,1.187159,-0.770175,7.371561,0.909078,-0.042132,7.410306,0.650918,0.394177,7.809895,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,42.027126,-73.172447,144.100266,0.000000,0.000000,1.0
17,1.069126,1,1,1,1,2.031349,-0.691990,7.846037,1.181105,-0.758086,7.333728,0.896478,-0.039084,7.372549,0.662364,0.370115,7.791910,0.756104,0.382674,8.128893,0.600448,0.402198,7.448919,42.693161,-72.469345,142.576065,76.031120,-104.194382,1.0
18,1.135946,1,1,1,1,2.031657,-0.686072,7.818566,1.181088,-0.742896,7.303928,0.885497,-0.033553,7.342972,0.673905,0.346249,7.784384,0.745681,0.376881,8.128880,0.602445,0.394155,7.447704,43.578510,-71.535927,140.235016,61.124550,-102.361542,1.0
19,1.202766,1,1,1,0,2.031115,-0.680553,7.789553,1.182710,-0.725658,7.270982,0.875280,-0.024794,7.310228,0.688604,0.339596,7.770446,0.745681,0.376881,8.128880,0.602445,0.394155,7.447704,44.604843,-70.422371,137.784851,61.124550,-102.361542,1.0
20,1.269587,1,1,1,1,2.029581,-0.678539,7.757339,1.184828,-0.710562,7.233661,0.866149,-0.015524,7.273118,0.670677,0.338715,7.744617,0.706255,0.382756,8.120690,0.585009,0.402677,7.441970,45.666180,-69.221161,135.931854,37.988945,-98.360954,1.0
