frame_id,time_sec,dt_sec,ret,target_valid,sl_x,sl_y,sl_valid,sr_x,sr_y,sr_valid,el_x,el_y,el_valid,wr_x,wr_y,wr_valid,f1_x,f1_y,f1_valid,f2_x,f2_y,f2_valid,fsl_x,fsl_y,fsr_x,fsr_y,fel_x,fel_y,fwr_x,fwr_y,ff1_x,ff1_y,ff2_x,ff2_y,sl3_x,sl3_y,sl3_z,sr3_x,sr3_y,sr3_z,el3_x,el3_y,el3_z,wr3_x,wr3_y,wr3_z,f13_x,f13_y,f13_z,f23_x,f23_y,f23_z,major3d_valid,finger3d_valid,base_deg,shoulder_deg,elbow_deg,wrist_pitch_deg,wrist_roll_deg,gripper_norm
1,0.055000,0.055000,1,1,252.563,190.386,1,388.509,189.502,1,439.348,224.093,1,495.281,267.282,1,518.990,247.712,1,524.452,263.862,1,252.563,190.386,388.509,189.502,439.348,224.093,495.281,267.282,518.990,247.712,524.452,263.862,-0.492371,0.361271,4.075066,0.507608,0.367768,4.075066,0.993689,0.127745,4.593346,1.507338,-0.238232,4.750607,1.769290,-0.072829,4.913458,1.817156,-0.216001,4.911905,1,1,43.071,-18.919,149.264,7.456,-77.002,1.0
2,0.122000,0.067000,1,1,251.909,190.644,1,387.456,190.717,1,441.989,226.523,1,495.906,267.111,1,523.579,250.365,1,526.993,266.111,1,252.244,190.512,387.995,190.096,440.638,225.280,495.586,267.199,521.231,249.007,525.693,264.960,-0.493683,0.361098,4.076324,0.506303,0.366127,4.076324,0.997157,0.123405,4.590830,1.510287,-0.238214,4.753470,1.776395,-0.077679,4.911550,1.820752,-0.220029,4.910421,1,1,43.289,-18.919,149.715,6.954,-77.002,1.0
3,0.202000,0.080000,1,1,252.529,190.963,1,388.320,189.643,1,443.164,226.345,1,498.034,269.132,1,526.166,252.163,1,528.528,267.665,1,252.401,190.760,388.174,189.846,442.029,225.866,496.934,268.263,523.948,250.745,527.254,266.450,-0.493930,0.360062,4.077297,0.506052,0.365921,4.077297,1.003842,0.118091,4.585815,1.515839,-0.242331,4.752899,1.790064,-0.088175,4.906114,1.828008,-0.228832,4.906590,1,1,43.784,-19.171,150.585,6.706,-77.438,1.0
4,0.302000,0.100000,1,1,253.627,189.824,1,388.998,191.198,1,444.932,227.082,1,501.865,270.999,1,527.294,253.643,1,530.768,269.727,1,253.176,190.169,388.695,190.701,443.864,226.635,500.051,269.993,526.063,252.577,529.475,268.521,-0.491372,0.362298,4.080501,0.508616,0.362623,4.080501,1.015192,0.111212,4.578423,1.528248,-0.252158,4.742574,1.806729,-0.103448,4.898266,1.840352,-0.244006,4.898795,1,1,44.748,-19.171,151.484,7.665,-77.953,1.0
5,0.373000,0.071000,1,1,252.505,191.538,1,388.832,191.234,1,445.100,228.860,1,501.492,270.749,1,531.133,253.805,1,533.994,270.590,1,252.835,190.865,388.764,190.972,444.492,227.766,500.784,270.377,528.640,253.201,531.773,269.573,-0.490956,0.360287,4.079410,0.509037,0.360115,4.079410,1.020585,0.104615,4.572758,1.535072,-0.256957,4.736845,1.818803,-0.110899,4.889143,1.850198,-0.252868,4.890236,1,1,45.325,-19.437,152.070,7.911,-78.352,1.0
6,0.433000,0.060000,1,1,253.220,190.679,1,389.085,191.225,1,446.258,229.084,1,504.657,272.456,1,532.440,255.043,1,535.684,271.571,1,253.008,190.781,388.909,191.086,445.289,228.361,502.531,271.315,530.354,254.032,533.537,270.475,-0.490290,0.359579,4.078846,0.509705,0.358592,4.078846,1.025144,0.099417,4.567578,1.541508,-0.261962,4.728941,1.828505,-0.117254,4.880342,1.858666,-0.259950,4.881440,1,1,45.802,-19.660,152.474,8.175,-78.668,1.0
7,0.524000,0.091000,1,1,253.974,190.389,1,390.063,190.541,1,448.182,230.045,1,507.398,271.144,1,533.166,256.320,1,537.620,274.048,1,253.585,190.547,389.599,190.760,447.017,229.367,505.439,271.213,532.034,255.399,535.977,272.610,-0.487275,0.359757,4.077257,0.512722,0.358460,4.077257,1.034549,0.090620,4.557320,1.556652,-0.265049,4.714742,1.843890,-0.128787,4.869620,1.873609,-0.275168,4.866773,1,1,46.655,-20.181,153.250,8.175,-78.668,1.0
8,0.574000,0.050000,1,1,252.590,190.874,1,390.745,190.833,1,447.052,232.619,1,507.073,273.014,1,537.300,256.523,1,538.161,277.096,1,253.194,190.676,390.050,190.789,447.031,230.647,506.082,271.921,534.106,255.841,536.836,274.375,-0.486328,0.358734,4.072480,0.513670,0.357598,4.072480,1.036803,0.084370,4.551684,1.561955,-0.267826,4.707137,1.852055,-0.133367,4.861801,1.879581,-0.284809,4.859220,1,1,46.952,-20.465,153.553,8.469,-78.852,1.0
9,0.629000,0.055000,1,1,252.755,191.207,1,391.128,190.626,1,449.509,231.880,1,508.833,272.857,1,538.067,259.629,1,538.168,278.132,1,253.008,190.900,390.506,190.720,448.079,231.168,507.246,272.317,535.782,257.444,537.399,275.964,-0.485319,0.356794,4.064753,0.514679,0.356558,4.064753,1.040289,0.078277,4.543903,1.567801,-0.270758,4.698005,1.861725,-0.141628,4.852805,1.884932,-0.296635,4.851469,1,1,47.209,-20.794,153.847,9.217,-79.066,1.0
10,0.696000,0.067000,1,1,254.129,191.070,1,391.738,190.978,1,449.235,232.043,1,509.718,273.201,1,539.082,260.136,1,541.969,277.760,1,253.555,190.983,391.107,190.846,448.644,231.595,508.453,272.749,537.393,258.758,539.631,276.841,-0.482794,0.355049,4.056839,0.517205,0.355342,4.056839,1.043887,0.072250,4.534286,1.574141,-0.274063,4.685695,1.872739,-0.152407,4.841343,1.893106,-0.307908,4.838783,1,1,47.463,-21.193,154.113,9.785,-79.311,1.0
11,0.776000,0.080000,1,1,253.131,191.803,1,391.897,191.339,1,451.410,234.539,1,512.789,273.080,1,542.434,261.838,1,543.281,277.783,1,253.322,191.435,391.542,191.117,450.167,233.216,510.841,272.931,540.169,260.454,541.641,277.360,-0.480844,0.351494,4.044720,0.519154,0.352762,4.044720,1.049372,0.061785,4.519217,1.584693,-0.276380,4.669491,1.887608,-0.166190,4.825678,1.903592,-0.316866,4.822928,1,1,47.799,-21.729,154.563,10.364,-79.623,1.0
12,0.876000,0.100000,1,1,253.421,191.677,1,391.166,191.967,1,451.448,234.509,1,512.814,275.880,1,544.607,260.539,1,545.106,282.442,1,253.385,191.588,391.304,191.654,450.977,234.033,512.088,274.795,542.974,260.508,543.831,280.573,-0.480014,0.349175,4.036342,0.519985,0.349453,4.036342,1.054481,0.051734,4.501368,1.591955,-0.285651,4.647265,1.901540,-0.173863,4.800105,1.913679,-0.336614,4.799553,1,1,48.462,-22.338,155.128,11.236,-80.124,1.0
13,0.947000,0.071000,1,1,253.673,191.892,1,391.573,191.168,1,452.665,235.039,1,516.736,275.546,1,543.699,261.823,1,544.986,281.588,1,253.531,191.743,391.441,191.407,451.835,234.544,514.451,275.177,543.343,261.176,544.418,281.089,-0.479269,0.347888,4.032036,0.520729,0.349129,4.032036,1.058089,0.046400,4.489470,1.598812,-0.289445,4.629415,1.907391,-0.179019,4.786340,1.918415,-0.345187,4.786156,1,1,48.959,-22.755,155.400,12.381,-80.397,1.0
