frame_id,time_sec,update_ret,target_valid,major_fresh,finger_fresh,shoulder_l_x3d,shoulder_l_y3d,shoulder_l_z,shoulder_r_x3d,shoulder_r_y3d,shoulder_r_z,elbow_x3d,elbow_y3d,elbow_z,wrist_x3d,wrist_y3d,wrist_z,finger1_x3d,finger1_y3d,finger1_z,finger2_x3d,finger2_y3d,finger2_z,elbow_roll_deg,elbow_pitch_deg,wrist_pitch_deg,wrist_roll_deg,gripper_norm,target_frame_id,elbow_roll_observable,hand_fresh,body_frame_valid,raw_elbow_roll_deg,raw_elbow_pitch_deg,body_x_x,body_x_y,body_x_z,body_y_x,body_y_y,body_y_z,body_z_x,body_z_y,body_z_z,active_arm
1,0.000000,-1,0,1,1,0.433829,-0.294444,7.324586,-0.565738,-0.267512,7.336155,-0.608376,-0.838136,6.851318,-0.433076,-0.836520,6.225409,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-16.299973,0.575812,0.000000,0.000000,0.0,1,1,0,1,-16.299973,0.575812,-0.999570,0.026933,0.011570,0.026931,0.999637,-0.000312,-0.011574,0.000000,-0.999933,1
2,0.066667,-1,0,1,1,0.432556,-0.295814,7.310409,-0.567386,-0.267438,7.332374,-0.605206,-0.842726,6.850140,-0.432447,-0.835138,6.223924,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-16.299973,0.802419,0.000000,0.000000,0.0,2,1,0,1,-16.231506,1.107442,-0.999521,0.027337,0.014513,0.027334,0.999626,-0.000397,-0.014518,0.000000,-0.999895,1
3,0.100000,-1,0,1,1,0.432032,-0.296788,7.302454,-0.568373,-0.267291,7.328792,-0.603518,-0.845974,6.848698,-0.431913,-0.834186,6.222346,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-16.299973,0.967454,0.000000,0.000000,0.0,3,1,0,1,-16.223816,1.482886,-0.999484,0.027664,0.016324,0.027660,0.999617,-0.000446,-0.016330,0.000006,-0.999867,1
4,0.166667,-1,0,1,1,0.431131,-0.299653,7.283338,-0.570991,-0.266740,7.317116,-0.600071,-0.857642,6.845615,-0.430746,-0.832279,6.219155,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-16.299973,1.708572,0.000000,0.000000,0.0,4,1,0,1,-16.273499,2.706154,-0.999350,0.029123,0.021241,0.029116,0.999576,-0.000607,-0.021250,0.000012,-0.999774,1
5,0.200000,-1,0,1,1,0.430639,-0.300916,7.272330,-0.571955,-0.266354,7.309237,-0.598309,-0.862504,6.842122,-0.429978,-0.831027,6.215643,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-16.299973,2.084769,0.000000,0.000000,0.0,5,1,0,1,-16.307343,3.259690,-0.999273,0.029938,0.023625,0.029930,0.999552,-0.000684,-0.023635,0.000024,-0.999721,1
6,0.266667,-1,0,1,1,0.430214,-0.303848,7.249973,-0.574477,-0.265627,7.292250,-0.595332,-0.874337,6.836509,-0.429026,-0.829584,6.210140,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-16.299973,3.102121,0.000000,0.000000,0.0,6,1,0,1,-16.392349,4.471529,-0.999065,0.032219,0.028838,0.032207,0.999481,-0.000894,-0.028852,0.000035,-0.999584,1
7,0.300000,-1,0,1,1,0.430106,-0.304961,7.238608,-0.575291,-0.265195,7.283154,-0.593167,-0.878945,6.832813,-0.428383,-0.828898,6.206433,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-16.299973,3.551886,0.000000,0.000000,0.0,7,1,0,1,-16.377747,4.956572,-0.998957,0.033335,0.031202,0.033321,0.999444,-0.000987,-0.031217,0.000053,-0.999513,1
8,0.366667,-1,0,1,1,0.430453,-0.306871,7.215669,-0.576449,-0.263937,7.264130,-0.586281,-0.887228,6.825030,-0.426827,-0.828513,6.198311,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-16.299973,4.493232,0.000000,0.000000,0.0,8,1,0,1,-16.147781,5.760331,-0.998706,0.035949,0.035973,0.035928,0.999354,-0.001224,-0.035994,0.000070,-0.999352,1
9,0.400000,-1,0,1,1,0.430430,-0.307408,7.203078,-0.576484,-0.263159,7.253183,-0.582878,-0.889819,6.818968,-0.425820,-0.827954,6.192052,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-16.299973,4.871984,0.000000,0.000000,0.0,9,1,0,1,-16.041336,6.054883,-0.998584,0.037162,0.038074,0.037139,0.999309,-0.001321,-0.038096,0.000095,-0.999274,1
10,0.466667,-1,0,1,1,0.430582,-0.308348,7.178124,-0.576488,-0.261519,7.231054,-0.576808,-0.897807,6.809303,-0.424347,-0.828636,6.182077,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-16.299973,5.666863,0.000000,0.000000,0.0,10,1,0,1,-15.832153,6.736811,-0.998319,0.039778,0.042144,0.039748,0.999209,-0.001561,-0.042173,0.000117,-0.999110,1
