frame_id,time_sec,frame_valid,shoulder_l_x,shoulder_l_y,shoulder_l_valid,shoulder_r_x,shoulder_r_y,shoulder_r_valid,elbow_x,elbow_y,elbow_valid,wrist_x,wrist_y,wrist_valid,finger1_x,finger1_y,finger1_valid,finger2_x,finger2_y,finger2_valid
1,0.000000,1,705.126,404.041,1,554.055,399.903,1,541.113,495.044,1,562.421,508.384,1,574.066,491.888,1,575.069,486.563,1
2,0.066667,1,705.432,405.893,1,552.424,400.052,1,543.423,498.852,1,562.783,507.542,1,574.209,493.700,1,575.346,489.065,1
3,0.100000,1,705.616,406.518,1,551.525,400.053,1,543.350,501.621,1,563.077,507.394,1,575.499,493.897,1,576.127,489.523,1
4,0.166667,1,705.733,406.907,1,551.156,400.043,1,543.399,504.108,1,563.060,507.386,1,575.719,494.656,1,576.273,490.627,1
5,0.200000,1,705.978,407.480,1,550.599,400.089,1,543.488,505.024,1,563.053,507.603,1,575.707,495.413,1,576.269,491.549,1
6,0.266667,1,706.191,407.692,1,550.231,400.087,1,543.641,506.360,1,562.922,507.708,1,575.348,496.066,1,576.237,492.187,1
7,0.300000,1,706.587,407.861,1,550.177,399.984,1,545.595,506.898,1,563.250,508.158,1,575.031,496.302,1,575.998,492.220,1
8,0.366667,1,706.831,407.880,1,550.208,399.739,1,546.932,507.004,1,563.396,508.699,1,574.601,496.334,1,575.739,492.164,1
9,0.400000,1,707.045,408.030,1,550.068,399.599,1,546.947,507.608,1,563.395,509.282,1,574.112,496.295,1,575.301,492.092,1
10,0.466667,1,707.119,408.135,1,549.929,399.566,1,547.138,509.909,1,563.434,509.651,1,574.110,496.270,1,575.293,492.044,1
11,0.500000,1,707.285,408.231,1,549.934,399.530,1,547.352,510.792,1,563.420,510.245,1,574.109,496.256,1,575.304,492.038,1
12,0.566667,1,707.705,408.670,1,549.944,399.498,1,547.984,512.922,1,568.924,513.777,1,574.160,496.559,1,575.419,492.613,1
13,0.600000,1,707.964,408.702,1,549.868,399.485,1,548.414,514.116,1,571.018,516.052,1,574.142,497.083,1,575.537,493.324,1
14,0.666667,1,708.108,408.684,1,549.827,399.483,1,555.266,513.457,1,571.462,517.914,1,574.006,498.171,1,575.536,494.242,1
15,0.700000,1,708.220,408.749,1,549.843,399.487,1,556.799,512.681,1,571.273,517.391,1,573.932,498.133,1,575.521,494.168,1
16,0.766667,1,708.350,408.855,1,549.849,399.580,1,557.546,510.704,1,567.681,516.965,1,574.134,498.144,1,575.547,494.115,1
17,0.800000,1,708.452,408.912,1,549.812,399.601,1,557.479,508.281,1,568.646,516.667,1,574.179,498.285,1,575.525,494.151,1
18,0.866667,1,708.461,408.788,1,549.725,399.642,1,557.674,508.954,1,569.327,517.171,1,574.247,498.276,1,575.506,494.165,1
19,0.900000,1,708.462,408.612,1,549.486,399.728,1,557.466,509.948,1,569.572,517.701,1,574.273,498.204,1,575.439,494.141,1
20,0.966667,1,708.465,408.098,1,549.266,399.737,1,557.361,508.296,1,569.813,517.712,1,574.344,498.194,1,575.420,494.120,1
21,1.000000,1,708.552,407.843,1,549.019,399.766,1,557.280,509.621,1,569.782,518.937,1,574.146,498.216,1,575.042,494.130,1
22,1.066667,1,708.593,407.539,1,548.850,399.783,1,557.063,510.444,1,569.764,518.880,1,574.010,498.094,1,574.839,494.106,1
23,1.100000,1,708.837,407.445,1,548.717,399.784,1,556.980,510.858,1,569.742,518.782,1,574.026,497.873,1,574.768,493.993,1
24,1.166667,1,709.164,407.228,1,548.580,399.703,1,555.992,510.838,1,569.607,518.699,1,574.036,497.605,1,574.696,493.864,1
25,1.200000,1,709.367,407.088,1,548.530,399.600,1,555.642,510.826,1,569.454,518.680,1,574.039,497.335,1,574.627,493.673,1
26,1.266667,1,709.593,407.036,1,548.489,399.298,1,554.212,507.496,1,569.048,518.377,1,574.021,497.230,1,574.473,493.545,1
27,1.300000,1,709.758,406.926,1,548.301,399.213,1,550.779,512.940,1,568.452,518.246,1,573.978,497.147,1,574.227,493.446,1
28,1.366667,1,709.960,406.708,1,548.091,399.134,1,550.806,510.902,1,567.976,518.206,1,573.729,496.952,1,573.904,493.286,1
