frame_id,time_sec,update_ret,target_valid,major_fresh,finger_fresh,shoulder_l_x3d,shoulder_l_y3d,shoulder_l_z,shoulder_r_x3d,shoulder_r_y3d,shoulder_r_z,elbow_x3d,elbow_y3d,elbow_z,wrist_x3d,wrist_y3d,wrist_z,finger1_x3d,finger1_y3d,finger1_z,finger2_x3d,finger2_y3d,finger2_z,base_deg,shoulder_deg,elbow_deg,wrist_pitch_deg,wrist_roll_deg,gripper_norm
1,0.000000,1,1,1,1,0.532795,0.992508,7.544536,-0.339499,0.930516,7.059496,-0.429122,0.217246,6.845692,-0.291318,-0.435461,6.809849,-0.168727,-0.652263,7.055758,-0.257423,-0.685907,7.051978,57.632812,-69.088982,156.899765,47.875267,-50.047298,1.0
2,0.067787,1,1,1,1,0.531642,0.988407,7.530153,-0.337368,0.926361,7.042226,-0.427362,0.212750,6.829072,-0.289934,-0.435358,6.793271,-0.169085,-0.653546,7.051839,-0.257261,-0.686998,7.047853,57.632812,-69.088982,156.899765,48.454811,-50.047298,1.0
3,0.101681,1,1,1,1,0.531390,0.986461,7.522362,-0.336281,0.924607,7.033002,-0.426778,0.210124,6.821429,-0.289454,-0.435905,6.785635,-0.169549,-0.654412,7.049313,-0.257300,-0.687740,7.045154,57.756321,-69.088982,156.899765,48.777649,-50.047298,1.0
4,0.169468,1,1,1,1,0.532078,0.982686,7.505719,-0.333630,0.921847,7.013753,-0.426454,0.203421,6.810625,-0.289084,-0.439107,6.774765,-0.171185,-0.657062,7.042973,-0.257605,-0.690224,7.038269,58.548244,-69.382317,156.899765,49.450169,-50.047298,1.0
5,0.203361,1,1,1,1,0.532704,0.981394,7.498698,-0.332500,0.921098,7.005741,-0.426643,0.200560,6.807991,-0.289152,-0.440985,6.772075,-0.171936,-0.658365,7.040084,-0.257754,-0.691468,7.035110,59.028408,-69.560989,156.899765,49.677990,-50.047298,1.0
6,0.271148,1,1,1,1,0.534138,0.978774,7.483835,-0.329593,0.919499,6.988515,-0.427119,0.194384,6.804818,-0.289384,-0.444985,6.768777,-0.173532,-0.661193,7.034937,-0.258095,-0.694233,7.029450,60.726692,-70.165100,157.197388,49.947327,-50.047298,1.0
7,0.305042,1,1,1,1,0.534814,0.977923,7.477688,-0.328395,0.919056,6.981346,-0.427516,0.191856,6.805332,-0.289601,-0.446853,6.769226,-0.174166,-0.662350,7.032950,-0.258239,-0.695421,7.027224,61.614071,-70.472244,157.334290,49.947327,-50.047298,1.0
8,0.372829,1,1,1,1,0.535754,0.975922,7.464447,-0.325737,0.917597,6.965528,-0.427916,0.186654,6.806164,-0.289451,-0.450392,6.769928,-0.175185,-0.664595,7.030190,-0.258374,-0.698036,7.023907,64.129044,-71.287338,157.644409,49.947327,-49.779232,1.0
9,0.406723,1,1,1,1,0.536164,0.975247,7.458978,-0.324721,0.917142,6.958944,-0.428209,0.184611,6.808077,-0.289348,-0.452109,6.771767,-0.175524,-0.665585,7.029323,-0.258372,-0.699249,7.022764,65.349968,-71.666855,157.778107,49.947327,-49.779232,1.0
10,0.474510,1,1,1,1,0.536663,0.973358,7.446714,-0.322568,0.915538,6.944105,-0.428165,0.180491,6.809614,-0.288320,-0.455246,6.773150,-0.175870,-0.667704,7.028478,-0.258001,-0.701844,7.021343,68.413788,-72.546646,158.042343,49.714275,-49.480389,1.0
11,0.508403,1,1,1,1,0.536950,0.972676,7.441609,-0.321753,0.915018,6.937929,-0.428258,0.178923,6.811581,-0.287915,-0.456669,6.775041,-0.175961,-0.668591,7.028415,-0.257788,-0.702909,7.021027,69.840607,-72.934822,158.042343,49.714275,-49.341629,1.0
12,0.576190,1,1,1,1,0.537435,0.970597,7.429767,-0.319942,0.913311,6.923770,-0.427640,0.175861,6.810827,-0.286849,-0.459139,6.778575,-0.176035,-0.670307,7.029387,-0.257288,-0.704886,7.021523,73.048996,-73.739189,158.042343,49.231384,-49.341629,1.0
13,0.610084,1,1,1,1,0.537804,0.969816,7.424762,-0.319250,0.912758,6.917878,-0.427494,0.174747,6.811334,-0.286238,-0.459816,6.778522,-0.176044,-0.670934,7.029848,-0.257068,-0.705598,7.021773,74.468620,-74.075706,158.170013,49.101067,-49.341629,1.0
14,0.677871,1,1,1,1,0.539173,0.968410,7.416039,-0.317911,0.912029,6.908031,-0.427572,0.172946,6.815452,-0.285319,-0.461472,6.781679,-0.176022,-0.672105,7.031528,-0.256631,-0.706899,7.023064,77.900208,-74.791298,158.170013,49.101067,-49.341629,1.0
15,0.711765,1,1,1,1,0.539763,0.967600,7.411465,-0.317238,0.911503,6.902915,-0.427362,0.172142,6.815612,-0.284764,-0.461939,6.781441,-0.175979,-0.672574,7.032231,-0.256415,-0.707408,7.023590,79.363876,-75.079491,158.170013,49.101067,-49.341629,1.0
16,0.779552,1,1,1,1,0.541246,0.965726,7.401895,-0.315679,0.910305,6.892447,-0.426914,0.170526,6.815017,-0.283638,-0.463036,6.780156,-0.175805,-0.673465,7.033286,-0.255895,-0.708334,7.024321,82.522606,-75.631783,158.170013,49.101067,-49.084389,1.0
17,0.813445,1,1,1,1,0.541993,0.964960,7.397806,-0.315052,0.909921,6.888091,-0.426894,0.169936,6.815783,-0.283297,-0.463682,6.780622,-0.175729,-0.673841,7.033822,-0.255680,-0.708714,7.024715,83.922798,-75.857658,158.170013,49.101067,-48.954914,1.0
18,0.881232,1,1,1,1,0.543505,0.962491,7.387335,-0.313490,0.908402,6.876973,-0.425900,0.168443,6.810106,-0.282870,-0.465425,6.784045,-0.175607,-0.674725,7.035633,-0.255298,-0.709628,7.026286,86.499290,-76.250656,158.170013,48.739079,-49.590088,1.0
19,0.915126,1,1,1,1,0.544245,0.961530,7.382878,-0.312871,0.907908,6.872345,-0.425683,0.167834,6.809026,-0.282249,-0.465765,6.781641,-0.175480,-0.675075,7.036133,-0.255006,-0.710041,7.026648,87.608849,-76.409958,158.170013,48.739079,-49.774269,1.0
20,0.982913,1,1,1,1,0.545309,0.959021,7.372065,-0.311411,0.906225,6.860775,-0.424512,0.166068,6.802401,-0.280303,-0.467103,6.772729,-0.174908,-0.675933,7.035216,-0.253948,-0.711321,7.025272,89.751518,-76.709999,158.170013,49.219254,-49.774269,1.0
21,1.016807,1,1,1,1,0.545753,0.958120,7.367536,-0.310881,0.905700,6.855959,-0.424184,0.165426,6.800667,-0.279525,-0.468080,6.770012,-0.174618,-0.676408,7.034556,-0.253444,-0.712017,7.024370,90.690292,-76.835945,158.170013,49.460728,-49.774269,1.0
22,1.050700,1,1,1,1,0.545919,0.956879,7.361804,-0.310238,0.904739,6.849658,-0.423204,0.164611,6.794601,-0.278417,-0.468810,6.764806,-0.174269,-0.676951,7.033403,-0.252857,-0.712811,7.022941,91.409195,-76.835945,158.170013,49.733807,-49.774269,1.0
23,1.118487,1,1,1,1,0.546320,0.954518,7.350403,-0.309111,0.902985,6.837209,-0.420909,0.162963,6.782376,-0.275509,-0.470711,6.750632,-0.173180,-0.678218,7.028667,-0.251036,-0.714831,7.017440,92.335426,-77.077980,158.170013,50.606766,-49.319778,1.0
24,1.152381,1,1,1,1,0.546567,0.953681,7.345585,-0.308727,0.902416,6.832028,-0.419936,0.162322,6.777797,-0.274326,-0.471843,6.745206,-0.172615,-0.678810,7.026127,-0.250113,-0.715804,7.014514,92.665077,-77.077980,158.170013,50.985817,-49.038494,1.0
25,1.220168,1,1,1,1,0.546711,0.951574,7.334196,-0.307789,0.900586,6.819532,-0.416138,0.160350,6.764534,-0.271052,-0.474028,6.730444,-0.170623,-0.680122,7.018905,-0.247257,-0.718061,7.006423,92.665077,-77.335884,158.441376,51.870472,-48.119408,1.0
26,1.254062,1,1,1,1,0.546816,0.950856,7.329424,-0.307467,0.899949,6.814331,-0.414477,0.159375,6.760611,-0.269726,-0.475391,6.725861,-0.169555,-0.680704,7.015425,-0.245777,-0.719121,7.002523,92.804306,-77.335884,158.565918,52.203098,-47.625706,1.0
27,1.321849,1,1,1,1,0.546678,0.949002,7.318249,-0.306522,0.897932,6.801803,-0.409919,0.156581,6.750921,-0.266194,-0.477637,6.715036,-0.166349,-0.681616,7.007551,-0.241616,-0.721036,6.993865,93.148705,-77.707039,158.890656,52.815285,-46.317863,1.0
28,1.355742,1,1,1,1,0.546677,0.948389,7.313605,-0.306161,0.897227,6.796588,-0.408256,0.155417,6.748949,-0.264787,-0.478838,6.712574,-0.164801,-0.681958,7.004054,-0.239662,-0.721770,6.990052,93.480186,-77.879066,159.028336,53.005436,-45.669125,1.0
29,1.423529,1,1,1,1,0.546314,0.946650,7.302782,-0.305078,0.895156,6.784037,-0.404124,0.152776,6.739098,-0.262019,-0.481569,6.714082,-0.161315,-0.682689,6.998825,-0.235252,-0.723170,6.984328,94.125183,-78.239319,159.344757,52.548855,-45.399223,1.0
30,1.457423,1,1,1,1,0.546220,0.946048,7.298317,-0.304649,0.894460,6.778812,-0.402681,0.151829,6.735691,-0.260826,-0.482515,6.715157,-0.159795,-0.682901,6.996846,-0.233328,-0.723636,6.982156,94.457062,-78.388710,159.344757,52.226925,-45.399223,1.0
31,1.525210,1,1,1,1,0.546658,0.945975,7.294327,-0.303992,0.894515,6.773921,-0.402270,0.151690,6.745361,-0.258746,-0.481833,6.720730,-0.156777,-0.681866,6.995092,-0.229674,-0.722202,6.980542,97.267929,-78.767830,159.344757,51.639229,-45.025593,1.0
32,1.559104,1,1,1,1,0.547097,0.946413,7.294446,-0.303828,0.895113,6.773920,-0.402202,0.151845,6.749856,-0.257552,-0.480206,6.718659,-0.155527,-0.680965,6.994188,-0.228203,-0.720950,6.979802,98.618301,-78.918877,159.344757,51.639229,-44.518551,1.0
33,1.626891,1,1,1,1,0.547753,0.946976,7.295019,-0.303071,0.895877,6.773919,-0.402684,0.152699,6.757357,-0.255149,-0.475096,6.708854,-0.153187,-0.677865,6.990529,-0.225536,-0.716583,6.976712,101.780861,-79.155151,159.344757,52.529610,-42.167995,1.0
34,1.660784,1,1,1,1,0.548259,0.947640,7.297057,-0.302849,0.896688,6.775953,-0.403435,0.153262,6.762508,-0.254584,-0.473359,6.707592,-0.152322,-0.676458,6.988858,-0.224588,-0.714582,6.975353,103.146164,-79.155151,159.165283,52.957413,-40.952477,1.0
35,1.728571,1,1,1,1,0.548977,0.948522,7.300751,-0.302142,0.897586,6.779352,-0.406544,0.154433,6.771040,-0.254597,-0.468879,6.701556,-0.151918,-0.671680,6.985271,-0.223931,-0.709637,6.971984,106.014771,-79.155151,158.511917,54.236233,-37.961098,1.0
36,1.762465,1,1,1,1,0.549221,0.948800,7.302357,-0.301810,0.897841,6.780767,-0.408810,0.155350,6.776995,-0.255697,-0.467171,6.702221,-0.152364,-0.668850,6.984191,-0.224289,-0.706985,6.970935,107.445580,-79.155151,158.171967,54.749878,-36.562103,1.0
37,1.830252,1,1,1,1,0.551250,0.951989,7.316318,-0.302325,0.901671,6.796564,-0.417462,0.161030,6.784705,-0.262490,-0.455377,6.690272,-0.157692,-0.656087,6.981474,-0.230550,-0.694430,6.968456,108.261734,-78.834999,157.205551,56.672379,-33.035919,1.0
38,1.864146,1,1,1,1,0.552192,0.953479,7.323877,-0.302586,0.903506,6.805173,-0.423156,0.164151,6.788597,-0.267376,-0.448886,6.683846,-0.161724,-0.649091,6.980157,-0.235441,-0.687463,6.967236,108.261734,-78.611626,156.719360,57.672504,-31.289352,1.0
39,1.931933,1,1,1,1,0.554964,0.957923,7.346097,-0.303716,0.909129,6.831074,-0.450548,0.179166,6.792043,-0.290484,-0.426414,6.666751,-0.182659,-0.620584,6.977819,-0.259506,-0.661168,6.964368,106.085960,-77.251434,155.008072,60.664379,-27.392662,1.0
40,1.965826,1,1,1,1,0.556170,0.959831,7.357019,-0.304232,0.911583,6.843889,-0.464122,0.186867,6.793035,-0.301939,-0.416011,6.659084,-0.193189,-0.606788,6.976546,-0.271391,-0.648638,6.962751,104.874603,-76.493736,154.167984,62.048004,-25.575935,1.0
41,2.033613,1,1,1,1,0.558140,0.962028,7.375313,-0.304520,0.915026,6.865303,-0.499517,0.204933,6.790016,-0.331177,-0.389154,6.635812,-0.220676,-0.572155,6.970628,-0.302717,-0.617004,6.956120,102.124214,-74.047157,151.617447,65.656029,-21.587151,1.0
42,2.067507,1,1,1,1,0.559191,0.962875,7.384552,-0.304732,0.916758,6.876250,-0.517364,0.214457,6.789433,-0.345559,-0.375170,6.625475,-0.234252,-0.554639,6.967658,-0.317776,-0.601048,6.952785,101.011597,-72.839020,150.365433,67.274910,-19.710682,1.0
43,2.101401,1,1,1,1,0.560288,0.963298,7.393507,-0.304918,0.918385,6.886967,-0.535844,0.225034,6.788212,-0.360210,-0.359783,6.614466,-0.248523,-0.535997,6.964104,-0.333306,-0.583972,6.948894,99.973946,-71.491295,148.970978,68.938591,-17.809525,1.0
44,2.169188,1,1,1,1,0.563120,0.963284,7.414481,-0.305771,0.922578,6.912550,-0.580723,0.254659,6.787357,-0.391542,-0.316216,6.592330,-0.280895,-0.485101,6.954666,-0.367174,-0.537158,6.939099,98.070305,-67.848152,144.988251,72.734520,-13.670479,1.0
45,2.203081,1,1,1,1,0.564129,0.962668,7.423143,-0.306063,0.923930,6.923199,-0.598928,0.267739,6.785095,-0.403951,-0.296947,6.580173,-0.294322,-0.463060,6.949454,-0.380933,-0.516812,6.933744,97.268379,-66.208633,143.191666,74.388008,-11.688172,1.0
46,2.270868,1,1,1,1,0.566140,0.960962,7.440446,-0.306954,0.926724,6.944829,-0.638705,0.298187,6.781499,-0.427936,-0.252082,6.557360,-0.319912,-0.409971,6.936212,-0.405959,-0.466400,6.920982,95.751266,-62.299206,138.720032,78.044205,-7.207105,1.0
47,2.304762,1,1,1,1,0.566832,0.960045,7.447593,-0.307280,0.927636,6.953833,-0.656687,0.312378,6.779057,-0.438046,-0.231705,6.546686,-0.330155,-0.385801,6.929656,-0.415964,-0.442876,6.914913,95.154449,-60.573643,136.714523,79.591949,-5.073073,1.0
48,2.372549,1,1,1,1,0.568307,0.958600,7.462466,-0.308178,0.930085,6.972714,-0.699559,0.350776,6.774696,-0.458912,-0.177892,6.527295,-0.348752,-0.322230,6.914937,-0.435433,-0.380393,6.902244,94.168915,-56.339695,131.523056,82.843117,-0.445795,1.0
49,2.406443,1,1,1,1,0.568787,0.957913,7.468587,-0.308558,0.931094,6.980574,-0.718057,0.368321,6.772085,-0.467694,-0.153195,6.517857,-0.356139,-0.293883,6.907769,-0.443373,-0.352589,6.896141,93.790947,-54.472504,129.204712,84.182526,1.756686,1.0
50,2.474230,1,1,1,1,0.569396,0.956434,7.478488,-0.309480,0.933463,6.993706,-0.757763,0.408385,6.766587,-0.488122,-0.097785,6.499267,-0.372527,-0.229720,6.891707,-0.460476,-0.291846,6.881945,93.247795,-50.144230,123.746628,86.856857,6.967721,1.0
51,2.508123,1,1,1,1,0.569585,0.955841,7.482550,-0.309866,0.934752,6.999171,-0.774845,0.425876,6.764668,-0.497712,-0.073477,6.491142,-0.380322,-0.201549,6.884197,-0.468294,-0.265446,6.875226,93.073532,-48.292908,121.410728,86.856857,6.967721,1.0
52,2.575910,1,1,1,1,0.570359,0.955477,7.492256,-0.310889,0.941262,7.012142,-0.807552,0.473634,6.759455,-0.521328,-0.014855,6.473840,-0.403204,-0.136371,6.868395,-0.488876,-0.201972,6.860798,92.669464,-44.085842,116.524277,89.555099,13.251289,1.0
53,2.609804,1,1,1,1,0.570808,0.955430,7.497070,-0.311301,0.944805,7.018559,-0.819963,0.494559,6.757313,-0.531427,0.009481,6.466475,-0.413462,-0.109772,6.860996,-0.497872,-0.175652,6.853919,92.461891,-42.315464,114.581589,90.604530,16.389990,1.0
54,2.677591,1,1,1,1,0.572573,0.955991,7.509509,-0.312078,0.954466,7.035037,-0.841541,0.544673,6.753849,-0.554634,0.066143,6.450878,-0.437763,-0.052342,6.845243,-0.523152,-0.114009,6.839444,91.753891,-38.461399,111.006485,90.604530,16.389990,1.0
55,2.711485,1,1,1,1,0.573353,0.956024,7.514617,-0.312187,0.958372,7.041895,-0.849512,0.566319,6.751145,-0.564215,0.091239,6.441907,-0.448321,-0.027216,6.837719,-0.535072,-0.086376,6.832582,91.389214,-36.844715,109.643936,90.604530,16.389990,1.0
56,2.779272,1,1,1,1,0.575374,0.956082,7.525853,-0.312444,0.966875,7.057193,-0.866933,0.615912,6.748126,-0.586925,0.152124,6.423103,-0.473689,0.039571,6.821650,-0.566963,-0.017194,6.817740,90.492599,-33.262890,107.046936,94.486183,26.619987,1.0
57,2.813165,1,1,1,1,0.576144,0.955882,7.530439,-0.312488,0.970204,7.063560,-0.874521,0.637562,6.746519,-0.596893,0.178449,6.414163,-0.485152,0.069188,6.814072,-0.581739,0.012753,6.810580,90.102051,-31.738567,106.019127,96.105042,31.937328,1.0
58,2.880952,1,1,1,1,0.577274,0.954890,7.536975,-0.313485,0.976922,7.074200,-0.894153,0.691757,6.742985,-0.618505,0.241635,6.397203,-0.509995,0.139251,6.797874,-0.612856,0.082233,6.795130,89.356804,-28.104862,103.596375,99.387161,44.777634,1.0
59,2.914846,1,1,1,1,0.577631,0.954330,7.539320,-0.314175,0.980036,7.078629,-0.902003,0.716718,6.740708,-0.627684,0.269760,6.388993,-0.520642,0.169565,6.790240,-0.626136,0.112956,6.787829,89.038147,-26.512945,102.572395,100.721001,50.947948,1.0
60,2.982633,1,1,1,1,0.578814,0.954231,7.548325,-0.316590,0.991342,7.093704,-0.919142,0.788408,6.742311,-0.660674,0.368443,6.365763,-0.555039,0.267875,6.772840,-0.668588,0.217640,6.771017,88.330688,-22.460133,100.547653,104.404808,64.963303,1.0
61,3.016527,1,1,1,1,0.579129,0.953986,7.551869,-0.317535,0.996671,7.099979,-0.925911,0.818882,6.743015,-0.676309,0.412126,6.353677,-0.571009,0.311148,6.764268,-0.688139,0.263930,6.762487,88.028130,-20.694838,99.828362,106.153908,71.575119,1.0
62,3.050420,1,1,1,1,0.579313,0.953570,7.554823,-0.318366,1.002288,7.105538,-0.932438,0.847893,6.744120,-0.692704,0.454684,6.341608,-0.587427,0.352610,6.755385,-0.708062,0.308473,6.753429,87.744812,-18.953995,99.279854,108.026466,78.190964,1.0
63,3.118207,1,1,1,1,0.579677,0.951948,7.558900,-0.319716,1.014111,7.114828,-0.945419,0.902527,6.748249,-0.726079,0.536877,6.319121,-0.619379,0.431225,6.735541,-0.746459,0.392307,6.733373,87.282753,-15.416948,98.676605,112.315079,91.772812,1.0
64,3.152101,1,1,1,1,0.579906,0.951096,7.560342,-0.320195,1.018760,7.118694,-0.950439,0.923188,6.750435,-0.739429,0.570777,6.308747,-0.632176,0.462613,6.726002,-0.761125,0.425520,6.723820,87.113823,-14.024323,98.676605,114.151619,97.893204,1.0
65,3.219888,1,1,1,1,0.580982,0.948863,7.561610,-0.320824,1.026829,7.125155,-0.958525,0.955712,6.755139,-0.767803,0.644266,6.285034,-0.661730,0.530965,6.704872,-0.789513,0.497029,6.702766,86.830254,-11.607195,99.128487,118.718079,109.741325,1.0
66,3.253782,1,1,1,1,0.581873,0.948285,7.563396,-0.321164,1.030454,7.129879,-0.960986,0.967218,6.758899,-0.779861,0.674275,6.275555,-0.674945,0.558966,6.695001,-0.801230,0.526266,6.692857,86.705742,-10.738263,99.520157,120.757538,114.948502,1.0
67,3.321569,1,1,1,1,0.584360,0.947065,7.566660,-0.321585,1.036613,7.139691,-0.956922,0.979082,6.761454,-0.801025,0.727299,6.251525,-0.701474,0.610549,6.672859,-0.823029,0.579742,6.670557,86.100327,-9.635237,101.600098,125.836044,124.581818,1.0
68,3.355462,1,1,1,1,0.585744,0.946870,7.569199,-0.321885,1.039405,7.145811,-0.954654,0.983147,6.763790,-0.809816,0.746409,6.242290,-0.712641,0.628508,6.662362,-0.832003,0.598537,6.659865,85.773552,-9.311830,102.689041,127.977486,128.719513,1.0
69,3.423249,1,1,1,1,0.588920,0.946755,7.575213,-0.322556,1.044583,7.159873,-0.947806,0.988318,6.768595,-0.825064,0.775154,6.226583,-0.734655,0.653088,6.640197,-0.848738,0.623827,6.636865,84.759819,-9.080773,105.649490,132.046661,135.996445,1.0
70,3.457143,1,1,1,1,0.590089,0.946624,7.577455,-0.322845,1.046395,7.165727,-0.944650,0.989425,6.769969,-0.829861,0.782540,6.219554,-0.741934,0.659027,6.629551,-0.854050,0.629938,6.625867,84.273529,-9.080773,106.949661,133.559662,139.033554,1.0
71,3.524930,1,1,1,1,0.591489,0.945538,7.577743,-0.323035,1.048049,7.171669,-0.945303,0.994617,6.771796,-0.835955,0.787430,6.209122,-0.750701,0.662146,6.607949,-0.860241,0.631887,6.603587,83.346710,-9.080773,109.052711,135.466293,143.994720,1.0
72,3.558824,1,1,1,1,0.591983,0.945143,7.577741,-0.323153,1.048654,7.174142,-0.948411,0.998799,6.774470,-0.838471,0.785905,6.207832,-0.752889,0.659376,6.598031,-0.861674,0.628254,6.593282,83.036926,-9.080773,109.676193,135.835297,145.977585,1.0
73,3.626611,1,1,1,1,0.591848,0.943549,7.573288,-0.323044,1.047895,7.172519,-0.957460,1.006395,6.777291,-0.840983,0.761724,6.209957,-0.754027,0.635162,6.579128,-0.861651,0.601439,6.573109,82.781235,-8.830920,109.676193,134.562195,148.874588,1.0
74,3.660504,1,1,1,1,0.591719,0.943089,7.571405,-0.323132,1.047622,7.171843,-0.961637,1.009441,6.779342,-0.841892,0.747833,6.213480,-0.753568,0.621124,6.570805,-0.861233,0.586330,6.564152,82.781235,-8.830920,109.526443,133.586945,149.951599,1.0
75,3.728291,1,1,1,1,0.591639,0.943443,7.569938,-0.323626,1.045851,7.172633,-0.960831,0.987318,6.780871,-0.840751,0.702936,6.217128,-0.750601,0.577702,6.555716,-0.859557,0.538652,6.546694,82.781235,-9.337423,109.526443,130.926208,151.200790,1.0
76,3.762185,1,1,1,1,0.591869,0.944239,7.570950,-0.323976,1.045313,7.174996,-0.956535,0.970670,6.781618,-0.839491,0.679635,6.218269,-0.748534,0.555760,6.548781,-0.858437,0.514223,6.538213,82.580383,-9.815125,109.773674,129.813919,151.573425,1.0
