frame_id,time_sec,update_ret,target_valid,major_fresh,finger_fresh,shoulder_l_x3d,shoulder_l_y3d,shoulder_l_z,shoulder_r_x3d,shoulder_r_y3d,shoulder_r_z,elbow_x3d,elbow_y3d,elbow_z,wrist_x3d,wrist_y3d,wrist_z,finger1_x3d,finger1_y3d,finger1_z,finger2_x3d,finger2_y3d,finger2_z,elbow_roll_deg,elbow_pitch_deg,wrist_pitch_deg,wrist_roll_deg,gripper_norm,target_frame_id,elbow_roll_observable,hand_fresh,body_frame_valid,raw_elbow_roll_deg,raw_elbow_pitch_deg,body_x_x,body_x_y,body_x_z,body_y_x,body_y_y,body_y_z,body_z_x,body_z_y,body_z_z,active_arm
1,0.000000,1,1,1,1,1.031714,0.228083,11.395389,0.037518,0.331923,11.423570,-0.179788,-0.260265,11.829265,-0.640794,-0.102712,12.259558,-0.874982,0.005898,12.495884,-0.883955,-0.068155,12.508912,130.586853,9.527002,-2.319321,-83.430443,0.0,1,1,1,1,130.586853,9.527002,-0.994195,0.103840,0.028181,0.103798,0.994594,-0.002942,-0.028334,0.000000,-0.999599,1
2,0.066803,1,1,1,1,1.035038,0.229053,11.412220,0.040718,0.331025,11.427359,-0.187285,-0.269772,11.823108,-0.641493,-0.103103,12.255170,-0.876894,0.010343,12.489693,-0.886309,-0.067253,12.503611,130.878510,9.925268,-1.945419,-83.430443,0.0,2,1,1,1,131.270050,10.459931,-0.994347,0.103321,0.024479,0.103290,0.994648,-0.002543,-0.024611,-0.000000,-0.999697,1
3,0.100205,1,1,1,1,1.037167,0.229826,11.423576,0.043241,0.330543,11.428940,-0.191817,-0.274961,11.817783,-0.641649,-0.103291,12.251190,-0.877579,0.013266,12.484512,-0.887252,-0.066587,12.499104,131.093445,10.183969,-1.690796,-83.430443,0.0,3,1,1,1,131.763123,10.990023,-0.994455,0.102938,0.021541,0.102914,0.994688,-0.002229,-0.021656,0.000000,-0.999766,1
4,0.167008,1,1,1,1,1.033806,0.230994,11.402171,0.051276,0.330056,11.456214,-0.206837,-0.289457,11.819283,-0.644201,-0.102808,12.256286,-0.880557,0.023849,12.485951,-0.891033,-0.060882,12.502856,131.546326,11.166495,-0.743149,-83.430443,0.0,4,1,1,1,132.154358,12.485516,-0.994286,0.102162,0.030944,0.102113,0.994768,-0.003178,-0.031107,0.000000,-0.999516,1
5,0.200410,1,1,1,1,1.033624,0.231857,11.394464,0.055153,0.329603,11.469604,-0.214027,-0.295766,11.818469,-0.645112,-0.102215,12.257479,-0.881482,0.029443,12.485147,-0.892281,-0.057335,12.503386,131.717468,11.654957,-0.260468,-83.430443,0.0,5,1,1,1,132.250671,13.176889,-0.994092,0.101707,0.037908,0.101633,0.994814,-0.003876,-0.038106,0.000000,-0.999274,1
6,0.267213,1,1,1,1,1.035403,0.234918,11.382657,0.063453,0.328122,11.495824,-0.228176,-0.309434,11.808233,-0.646297,-0.099826,12.250981,-0.882759,0.043306,12.473510,-0.893633,-0.047599,12.495519,131.717468,12.986857,1.024719,-83.430443,0.0,6,1,1,1,132.010986,14.774907,-0.993203,0.099813,0.059873,0.099632,0.995006,-0.006006,-0.060173,0.000000,-0.998188,1
7,0.300615,1,1,1,1,1.036935,0.236777,11.380292,0.066713,0.327544,11.508774,-0.233387,-0.315674,11.801629,-0.646662,-0.099173,12.245793,-0.883341,0.048269,12.465863,-0.894219,-0.044136,12.489629,131.717468,13.586117,1.597992,-83.430443,0.0,7,1,1,1,131.775574,15.453268,-0.992596,0.098697,0.070793,0.098447,0.995118,-0.007021,-0.071140,0.000000,-0.997466,1
8,0.367418,1,1,1,1,1.040110,0.241530,11.376059,0.072082,0.325989,11.530469,-0.241118,-0.329710,11.767539,-0.645381,-0.098419,12.213679,-0.882706,0.055808,12.428990,-0.893771,-0.038759,12.455932,131.442932,15.017129,2.886200,-83.430443,0.0,8,1,1,1,131.074402,16.938234,-0.990891,0.095121,0.095329,0.094684,0.995466,-0.009109,-0.095763,0.000000,-0.995404,1
9,0.400820,1,1,1,1,1.042565,0.243727,11.378508,0.074006,0.325395,11.541531,-0.243781,-0.336375,11.748773,-0.644533,-0.097951,12.195360,-0.881894,0.058478,12.408791,-0.893053,-0.036619,12.437015,131.265472,15.657114,3.417831,-83.430443,0.0,9,1,1,1,130.712494,17.651157,-0.989967,0.093267,0.106143,0.092735,0.995641,-0.009943,-0.106608,0.000000,-0.994301,1
10,0.467623,1,1,1,1,1.044440,0.246858,11.364209,0.076642,0.322795,11.544907,-0.247947,-0.354217,11.701746,-0.640895,-0.096413,12.147435,-0.874778,0.064059,12.359281,-0.886551,-0.030592,12.389296,130.685577,17.335543,4.255096,-83.145149,0.0,10,1,1,1,129.907074,19.588797,-0.987796,0.088677,0.128047,0.087941,0.996060,-0.011400,-0.128554,0.000000,-0.991703,1
