frame_id,time_sec,frame_valid,shoulder_l_x,shoulder_l_y,shoulder_l_valid,shoulder_r_x,shoulder_r_y,shoulder_r_valid,elbow_x,elbow_y,elbow_valid,wrist_x,wrist_y,wrist_valid,finger1_x,finger1_y,finger1_valid,finger2_x,finger2_y,finger2_valid
1,0.000000,1,774.572,396.121,1,615.569,374.818,1,542.054,487.346,1,476.961,422.490,1,444.492,400.437,1,461.556,406.277,1
2,0.067036,1,774.110,395.496,1,616.000,374.801,1,545.292,485.479,1,477.189,422.664,1,445.038,400.456,1,461.616,406.322,1
3,0.100554,1,773.610,394.663,1,616.201,374.801,1,546.183,484.461,1,477.633,422.653,1,445.572,400.463,1,461.825,406.332,1
4,0.167590,1,773.473,393.486,1,616.151,374.831,1,546.280,484.424,1,478.691,422.711,1,446.812,400.374,1,462.774,406.300,1
5,0.201108,1,773.212,392.815,1,616.105,374.832,1,547.220,484.339,1,478.673,422.704,1,446.816,400.069,1,462.765,406.199,1
6,0.268144,1,773.114,391.852,1,616.015,374.704,1,547.474,484.396,1,478.708,422.091,1,446.779,399.285,1,462.722,405.646,1
7,0.301662,1,773.138,391.753,1,616.011,374.501,1,548.209,484.401,1,478.712,421.613,1,446.765,398.636,1,462.754,405.202,1
8,0.368698,1,772.911,390.659,1,616.071,373.934,1,549.059,484.375,1,478.729,421.247,1,446.777,397.493,1,462.890,404.204,1
9,0.402216,1,772.794,390.691,1,616.108,373.375,1,549.390,484.045,1,478.682,420.672,1,446.768,396.496,1,462.917,403.077,1
10,0.469252,1,772.578,389.740,1,616.042,373.386,1,549.361,484.020,1,478.732,420.427,1,446.872,396.001,1,463.209,402.401,1
11,0.502770,1,773.135,389.393,1,616.009,373.385,1,549.445,483.785,1,478.745,420.208,1,446.909,395.663,1,463.341,401.895,1
12,0.569806,1,773.974,389.258,1,616.392,373.449,1,549.430,483.740,1,478.858,420.105,1,446.964,395.335,1,463.540,401.498,1
13,0.603324,1,774.301,389.081,1,616.571,373.638,1,549.402,483.767,1,478.891,419.826,1,446.966,394.999,1,463.568,401.132,1
14,0.670360,1,774.693,389.104,1,616.595,373.681,1,549.384,483.770,1,478.889,419.686,1,446.979,394.555,1,463.628,400.816,1
15,0.703878,1,774.743,389.125,1,616.610,373.702,1,549.770,483.750,1,479.057,419.677,1,447.164,394.428,1,463.800,400.682,1
16,0.770914,1,774.866,389.143,1,616.662,373.718,1,550.202,483.762,1,479.607,419.718,1,447.497,394.401,1,464.164,400.654,1
17,0.804432,1,775.019,389.174,1,616.999,373.723,1,550.420,483.765,1,479.752,419.792,1,447.583,394.348,1,464.321,400.632,1
18,0.871468,1,775.100,389.127,1,617.100,373.786,1,550.514,483.817,1,479.756,419.770,1,447.693,394.307,1,464.465,400.553,1
19,0.904986,1,775.309,389.062,1,617.318,373.985,1,550.461,484.206,1,479.760,419.730,1,447.814,394.279,1,464.874,400.501,1
20,0.972022,1,775.516,389.025,1,617.480,374.133,1,550.210,484.273,1,479.812,419.440,1,447.977,394.274,1,465.322,400.429,1
21,1.005540,1,775.821,388.970,1,617.810,374.135,1,549.493,484.250,1,479.765,418.931,1,447.894,394.207,1,465.324,400.285,1
22,1.072576,1,775.824,388.461,1,617.843,374.093,1,548.871,483.927,1,479.558,418.138,1,447.640,393.956,1,465.302,399.953,1
23,1.106094,1,775.938,388.416,1,617.778,373.980,1,548.613,483.975,1,479.469,418.125,1,447.558,393.829,1,465.302,399.896,1
24,1.173130,1,775.918,388.366,1,617.730,373.866,1,548.607,484.027,1,479.479,418.129,1,447.558,393.739,1,465.341,399.869,1
25,1.206648,1,775.897,388.331,1,617.713,373.806,1,548.478,484.047,1,479.417,418.030,1,447.284,393.358,1,465.224,399.632,1
26,1.273684,1,775.839,388.317,1,617.688,373.787,1,547.962,484.188,1,479.231,417.912,1,446.841,392.903,1,464.959,399.323,1
27,1.307202,1,775.811,388.307,1,617.659,373.825,1,547.482,484.393,1,479.046,417.861,1,446.511,392.530,1,464.760,399.049,1
28,1.374238,1,775.799,388.306,1,617.655,373.885,1,547.366,484.407,1,478.849,417.852,1,446.409,392.376,1,464.683,398.961,1
29,1.407756,1,775.752,388.208,1,617.604,373.891,1,547.368,484.161,1,478.851,417.867,1,446.451,392.381,1,464.726,398.976,1
30,1.474792,1,775.770,388.259,1,617.609,373.883,1,547.210,483.965,1,478.482,417.891,1,446.397,392.376,1,464.584,398.978,1
31,1.508310,1,775.804,388.304,1,617.637,373.896,1,547.152,483.873,1,478.017,417.696,1,446.246,392.280,1,464.253,398.930,1
32,1.575346,1,775.803,388.582,1,617.645,373.931,1,547.153,483.871,1,477.988,417.166,1,446.260,392.279,1,464.244,398.872,1
33,1.608864,1,775.800,388.860,1,617.650,373.951,1,547.206,483.872,1,478.019,416.935,1,446.363,392.323,1,464.269,398.860,1
34,1.675900,1,775.767,388.909,1,617.701,373.939,1,547.383,483.871,1,478.353,416.887,1,446.755,392.474,1,464.473,398.858,1
35,1.709418,1,775.769,389.179,1,617.770,373.933,1,547.643,483.929,1,478.708,416.893,1,447.138,392.701,1,464.684,398.875,1
36,1.776454,1,776.060,390.117,1,618.368,373.856,1,548.293,483.950,1,479.369,417.091,1,447.839,393.212,1,465.240,399.098,1
37,1.809972,1,776.416,390.943,1,619.058,373.781,1,548.798,483.910,1,479.740,417.169,1,448.191,393.679,1,465.597,399.310,1
38,1.877008,1,777.434,391.801,1,619.628,373.613,1,549.190,483.905,1,480.004,417.282,1,448.395,393.967,1,465.876,399.498,1
39,1.910526,1,777.991,392.478,1,619.993,373.504,1,549.456,483.919,1,480.238,417.409,1,448.471,394.037,1,466.034,399.562,1
40,1.977562,1,778.549,392.933,1,620.134,373.406,1,549.621,484.015,1,480.394,417.757,1,448.562,394.084,1,466.145,399.636,1
41,2.011080,1,778.805,392.940,1,620.051,373.405,1,549.759,484.133,1,480.623,417.941,1,448.829,394.217,1,466.316,399.754,1
42,2.078116,1,779.044,392.980,1,620.035,373.865,1,549.894,484.860,1,481.186,418.736,1,449.440,394.482,1,466.803,400.049,1
43,2.111634,1,779.216,393.024,1,620.024,374.088,1,550.074,485.219,1,481.409,418.991,1,449.638,394.537,1,466.988,400.150,1
44,2.178670,1,779.365,393.044,1,620.025,374.337,1,550.303,485.396,1,481.584,419.044,1,449.788,394.558,1,467.149,400.202,1
45,2.212188,1,779.497,393.041,1,620.027,374.528,1,550.420,485.539,1,481.633,419.045,1,449.849,394.562,1,467.210,400.213,1
46,2.279224,1,779.579,393.039,1,620.034,374.656,1,550.476,485.623,1,481.633,418.964,1,449.871,394.550,1,467.235,400.217,1
47,2.312742,1,779.613,393.036,1,620.032,374.794,1,550.503,485.653,1,481.611,418.722,1,449.875,394.477,1,467.237,400.183,1
48,2.379778,1,779.705,392.987,1,620.037,374.870,1,550.506,485.653,1,481.554,418.346,1,449.876,394.366,1,467.238,400.093,1
49,2.413296,1,779.874,392.952,1,620.098,374.871,1,550.509,485.588,1,481.514,418.034,1,449.876,394.243,1,467.234,399.969,1
50,2.480332,1,780.141,392.932,1,620.155,374.873,1,550.509,485.458,1,481.453,417.744,1,449.873,394.115,1,467.225,399.852,1
51,2.513850,1,780.410,392.927,1,620.250,374.879,1,550.506,485.207,1,481.422,417.523,1,449.871,394.031,1,467.224,399.775,1
52,2.580886,1,780.768,392.923,1,620.332,374.878,1,550.486,485.075,1,481.368,417.276,1,449.835,393.864,1,467.209,399.629,1
53,2.614404,1,781.043,392.919,1,620.359,374.879,1,550.472,484.990,1,481.355,417.149,1,449.822,393.761,1,467.205,399.533,1
54,2.681440,1,781.283,392.920,1,620.395,374.872,1,550.462,484.989,1,481.352,417.122,1,449.822,393.693,1,467.215,399.469,1
55,2.714958,1,781.563,392.890,1,620.428,374.848,1,550.438,485.021,1,481.371,417.119,1,449.836,393.661,1,467.249,399.422,1
56,2.781994,1,781.655,392.887,1,620.443,374.798,1,550.404,485.100,1,481.498,417.192,1,449.996,393.676,1,467.448,399.418,1
57,2.815512,1,781.696,392.854,1,620.453,374.704,1,550.381,485.122,1,481.614,417.254,1,450.150,393.702,1,467.652,399.416,1
58,2.882548,1,781.896,392.850,1,620.577,374.627,1,550.341,485.149,1,481.706,417.263,1,450.227,393.707,1,467.822,399.412,1
59,2.916066,1,782.180,392.854,1,620.728,374.530,1,550.299,485.212,1,481.788,417.378,1,450.325,393.745,1,468.008,399.430,1
60,2.983102,1,782.864,392.928,1,621.060,374.259,1,550.334,485.214,1,482.051,417.493,1,450.670,393.775,1,468.397,399.432,1
61,3.016620,1,783.193,392.934,1,621.322,373.576,1,550.505,485.141,1,482.343,417.547,1,451.144,393.782,1,468.849,399.430,1
62,3.050139,1,783.445,392.942,1,621.497,373.389,1,550.556,485.141,1,482.535,417.711,1,451.460,393.797,1,469.119,399.433,1
63,3.117175,1,783.781,392.998,1,621.787,372.946,1,550.937,484.944,1,482.846,417.703,1,451.866,393.792,1,469.464,399.384,1
64,3.150693,1,784.383,392.998,1,622.023,372.702,1,551.165,484.821,1,483.109,417.704,1,452.175,393.791,1,469.726,399.351,1
