frame_id,time_sec,update_ret,target_valid,major_fresh,finger_fresh,shoulder_l_x3d,shoulder_l_y3d,shoulder_l_z,shoulder_r_x3d,shoulder_r_y3d,shoulder_r_z,elbow_x3d,elbow_y3d,elbow_z,wrist_x3d,wrist_y3d,wrist_z,finger1_x3d,finger1_y3d,finger1_z,finger2_x3d,finger2_y3d,finger2_z,base_deg,shoulder_deg,elbow_deg,wrist_pitch_deg,wrist_roll_deg,gripper_norm
1,0.000000,1,1,1,1,0.280921,0.866604,6.053522,-0.457376,0.806933,5.381693,-0.549367,0.066998,5.300867,-0.574070,-0.588903,5.224216,-0.545111,-0.853569,5.451409,-0.618540,-0.841161,5.462727,89.265877,77.182487,175.078156,48.429749,-169.238739,1.0
2,0.066837,1,1,1,1,0.280628,0.864758,6.047111,-0.459004,0.805223,5.376008,-0.551969,0.066803,5.289722,-0.581542,-0.585593,5.220612,-0.562640,-0.845617,5.454543,-0.631836,-0.832668,5.464319,89.766106,77.182487,175.078156,48.674038,-168.312653,1.0
3,0.133674,1,1,1,1,0.282324,0.866561,6.051545,-0.464895,0.808799,5.384796,-0.564724,0.070301,5.301706,-0.606389,-0.575680,5.223149,-0.602875,-0.825638,5.461649,-0.664809,-0.812709,5.468379,89.112228,76.951782,175.463303,49.820621,-166.963684,0.0
4,0.200512,1,1,1,1,0.284641,0.868123,6.056608,-0.470817,0.812983,5.395508,-0.576744,0.075922,5.309853,-0.631236,-0.557411,5.206882,-0.646201,-0.800484,5.465059,-0.701889,-0.787740,5.468737,88.546944,76.637276,175.463303,52.650307,-166.067368,0.0
5,0.267349,1,1,1,1,0.287167,0.869587,6.062576,-0.476107,0.817325,5.407735,-0.586717,0.081370,5.319697,-0.652752,-0.542431,5.194804,-0.680415,-0.779674,5.465148,-0.730787,-0.766538,5.466980,88.177551,76.326805,175.202744,55.938469,-165.468185,0.0
6,0.334186,1,1,1,1,0.288813,0.869203,6.063281,-0.479290,0.818772,5.413576,-0.593197,0.082930,5.326147,-0.666707,-0.537666,5.187651,-0.698958,-0.770765,5.462535,-0.746979,-0.756979,5.463629,87.739937,76.326805,174.629745,58.743118,-165.076416,0.0
7,0.401023,1,1,1,1,0.289493,0.866932,6.056973,-0.480165,0.817094,5.410596,-0.595418,0.080647,5.326352,-0.659990,-0.539901,5.177687,-0.689143,-0.774431,5.456148,-0.739403,-0.761046,5.457609,87.140099,76.326805,173.703964,60.845921,-165.714172,0.0
8,0.467860,1,1,1,1,0.289134,0.863893,6.045158,-0.476916,0.813116,5.398773,-0.584579,0.075171,5.316715,-0.626872,-0.557202,5.183982,-0.638810,-0.793660,5.446135,-0.700153,-0.781578,5.450914,87.140099,76.326805,173.363846,60.845921,-167.167847,1.0
9,0.534697,1,1,1,1,0.287065,0.861091,6.028831,-0.469141,0.807812,5.378090,-0.556851,0.069768,5.288435,-0.564520,-0.569434,5.168887,-0.559020,-0.812967,5.428238,-0.631230,-0.803950,5.439383,89.984123,76.762634,173.363846,59.616932,-170.884247,1.0
10,0.601535,1,1,1,1,0.284728,0.865519,6.029404,-0.462233,0.813129,5.373169,-0.529407,0.073555,5.280359,-0.482139,-0.564466,5.173512,-0.443266,-0.803332,5.413155,-0.529362,-0.801697,5.434789,94.227928,77.392647,172.089340,57.586426,-179.395905,1.0
11,0.668372,1,1,1,1,0.282188,0.875721,6.048371,-0.456918,0.826423,5.386350,-0.504490,0.087008,5.286703,-0.394343,-0.531860,5.164075,-0.321125,-0.765112,5.398941,-0.415309,-0.770057,5.432166,99.860550,77.959862,169.488403,56.912010,168.344009,1.0
12,0.735209,1,1,1,1,0.279406,0.888114,6.080360,-0.451803,0.844298,5.411893,-0.480486,0.108849,5.296992,-0.307265,-0.466798,5.137396,-0.207800,-0.692093,5.387455,-0.299221,-0.706433,5.426500,107.002777,77.959862,165.647339,58.841640,155.565445,1.0
13,0.802046,1,1,1,1,0.276419,0.899465,6.116553,-0.447451,0.862186,5.441487,-0.457191,0.136183,5.301908,-0.226516,-0.379032,5.096945,-0.105562,-0.583610,5.374370,-0.190567,-0.610739,5.416130,115.117439,77.574776,160.840179,63.830990,143.301956,1.0
14,0.868883,1,1,1,1,0.273600,0.910113,6.153635,-0.444141,0.877822,5.472378,-0.439664,0.165760,5.301929,-0.161178,-0.287371,5.053369,-0.024437,-0.463688,5.359059,-0.104525,-0.503908,5.401918,122.461029,76.405052,155.543823,70.960876,131.320709,1.0
