frame_id,time_sec,update_ret,target_valid,major_fresh,finger_fresh,shoulder_l_x3d,shoulder_l_y3d,shoulder_l_z,shoulder_r_x3d,shoulder_r_y3d,shoulder_r_z,elbow_x3d,elbow_y3d,elbow_z,wrist_x3d,wrist_y3d,wrist_z,finger1_x3d,finger1_y3d,finger1_z,finger2_x3d,finger2_y3d,finger2_z,base_deg,shoulder_deg,elbow_deg,wrist_pitch_deg,wrist_roll_deg,gripper_norm
1,0.000000,1,1,1,1,0.298237,0.748210,7.269585,-0.585012,0.749831,6.800686,-0.754229,0.013414,6.783328,-0.748735,-0.644647,6.720819,-0.734411,-0.872010,6.986525,-0.811046,-0.869908,6.981344,67.741821,77.079422,165.990463,54.858734,63.773254,0.0
2,0.066837,1,1,1,1,0.298257,0.748216,7.269567,-0.585012,0.749922,6.800686,-0.761084,0.017818,6.792349,-0.769141,-0.627956,6.709001,-0.767055,-0.856020,6.986929,-0.840643,-0.853715,6.979094,66.391670,76.852371,165.990463,56.122524,64.046967,0.0
3,0.133674,1,1,1,1,0.298261,0.747650,7.266380,-0.584358,0.749548,6.796896,-0.775329,0.026701,6.814810,-0.809857,-0.604788,6.705307,-0.819131,-0.828042,6.987842,-0.886946,-0.826621,6.976624,62.150402,76.155678,165.082779,58.147491,72.467239,0.0
4,0.200512,1,1,1,1,0.298229,0.746456,7.259148,-0.582975,0.748822,6.788225,-0.790066,0.038621,6.838874,-0.854497,-0.581058,6.706614,-0.873235,-0.799268,6.988892,-0.935541,-0.798750,6.974907,56.105949,74.966835,163.371109,60.240021,87.123131,0.0
5,0.267349,1,1,1,1,0.298312,0.745180,7.250178,-0.581511,0.748198,6.777606,-0.801969,0.049444,6.859240,-0.890670,-0.562469,6.709520,-0.917151,-0.777932,6.989743,-0.974332,-0.777938,6.974295,49.789719,73.481750,161.083694,61.996037,106.551422,0.0
6,0.334186,1,1,1,1,0.298589,0.744506,7.242914,-0.580661,0.748158,6.769241,-0.810105,0.056727,6.875791,-0.910239,-0.550213,6.710931,-0.941629,-0.763676,6.990829,-0.996275,-0.764842,6.974689,44.162746,71.992195,158.499176,63.571621,129.632721,0.0
7,0.401023,1,1,1,1,0.299560,0.745850,7.244415,-0.581791,0.750306,6.772128,-0.811009,0.053917,6.882764,-0.900185,-0.548341,6.700138,-0.933157,-0.764790,6.987073,-0.987252,-0.766454,6.971912,40.538597,71.153778,156.119583,65.417549,154.316315,0.0
8,0.467860,1,1,1,1,0.300409,0.747137,7.246858,-0.580795,0.751790,6.774402,-0.795562,0.048179,6.888004,-0.851754,-0.557727,6.697019,-0.867833,-0.778484,6.977580,-0.927491,-0.782156,6.966507,37.515236,71.153778,154.090744,66.544014,171.291260,0.0
9,0.534697,1,1,1,1,0.300748,0.747398,7.245827,-0.577366,0.752316,6.770508,-0.764283,0.043019,6.894332,-0.769732,-0.571269,6.708825,-0.758534,-0.794107,6.961986,-0.825308,-0.800670,6.959850,33.280445,71.756149,152.380005,65.836655,179.782608,0.0
10,0.601535,1,1,1,1,0.299830,0.746188,7.238179,-0.571289,0.752485,6.756070,-0.727048,0.046249,6.904091,-0.652847,-0.566512,6.730501,-0.599428,-0.779853,6.937563,-0.679379,-0.795686,6.955873,26.404156,72.354668,149.944443,62.945114,178.086945,1.0
11,0.668372,1,1,1,1,0.298380,0.745388,7.231161,-0.565337,0.754565,6.740907,-0.693535,0.056994,6.918919,-0.537012,-0.535356,6.744174,-0.446018,-0.739262,6.919817,-0.534356,-0.766187,6.956964,17.653996,72.354668,146.122086,59.421314,169.716370,1.0
12,0.735209,1,1,1,1,0.296379,0.745172,7.224873,-0.559254,0.758937,6.725174,-0.662497,0.080154,6.942088,-0.428597,-0.469311,6.749707,-0.306032,-0.659585,6.913135,-0.394748,-0.698289,6.962564,7.949931,71.551674,140.443802,57.352936,158.563751,1.0
