frame_id,time_sec,frame_valid,shoulder_l_x,shoulder_l_y,shoulder_l_valid,shoulder_r_x,shoulder_r_y,shoulder_r_valid,elbow_x,elbow_y,elbow_valid,wrist_x,wrist_y,wrist_valid,finger1_x,finger1_y,finger1_valid,finger2_x,finger2_y,finger2_valid
1,0.000000,1,345.209,160.191,1,272.417,156.433,1,262.085,232.498,1,258.623,301.950,1,264.103,326.244,1,256.771,324.806,1
2,0.066837,1,345.344,160.191,1,271.125,156.431,1,259.588,232.453,1,254.397,300.676,1,255.876,321.892,1,250.479,320.434,1
3,0.133674,1,345.703,160.134,1,270.480,156.159,1,257.460,230.943,1,246.728,296.638,1,245.937,315.953,1,241.724,314.939,1
4,0.200512,1,346.008,160.130,1,270.229,155.814,1,256.718,229.908,1,243.960,294.574,1,243.087,313.792,1,238.656,312.718,1
5,0.267349,1,346.181,160.147,1,270.103,155.674,1,256.840,229.788,1,244.299,294.453,1,243.367,314.286,1,239.371,312.803,1
6,0.334186,1,346.210,160.179,1,270.004,155.819,1,256.904,231.083,1,245.661,297.409,1,246.045,317.534,1,241.329,315.909,1
7,0.401023,1,346.255,160.195,1,270.011,155.948,1,257.368,232.205,1,252.943,299.562,1,255.406,321.484,1,249.160,320.255,1
8,0.467860,1,346.127,160.075,1,271.134,155.966,1,262.257,233.387,1,266.145,304.659,1,271.948,328.112,1,262.034,326.826,1
9,0.534697,1,345.618,159.699,1,272.566,155.717,1,268.442,233.274,1,277.765,304.796,1,285.222,329.059,1,275.549,328.268,1
10,0.601535,1,344.813,158.969,1,273.767,153.390,1,271.270,229.504,1,292.918,294.887,1,307.509,316.047,1,295.275,317.024,1
11,0.668372,1,344.086,158.462,1,274.723,152.194,1,273.333,225.740,1,299.924,285.060,1,317.382,305.305,1,306.747,306.130,1
12,0.735209,1,343.501,158.300,1,275.874,150.778,1,275.679,221.595,1,307.951,269.670,1,324.777,288.056,1,317.511,291.918,1
13,0.802046,1,343.125,158.209,1,276.156,149.921,1,277.454,217.658,1,314.366,255.652,1,332.321,268.231,1,325.494,274.512,1
