frame_id,time_sec,frame_valid,shoulder_l_x,shoulder_l_y,shoulder_l_valid,shoulder_r_x,shoulder_r_y,shoulder_r_valid,elbow_x,elbow_y,elbow_valid,wrist_x,wrist_y,wrist_valid,finger1_x,finger1_y,finger1_valid,finger2_x,finger2_y,finger2_valid
1,0.000000,1,684.956,245.461,1,544.187,237.334,1,516.303,357.309,1,516.063,465.777,1,523.029,497.793,1,510.780,497.562,1
2,0.066837,1,684.972,245.454,1,544.187,237.263,1,512.531,353.903,1,497.653,454.269,1,498.232,485.537,1,487.780,485.628,1
3,0.133674,1,685.150,245.393,1,544.186,236.974,1,509.192,350.824,1,485.076,448.530,1,485.640,477.385,1,477.015,478.263,1
4,0.200512,1,685.317,245.347,1,544.206,236.549,1,507.977,348.105,1,480.327,445.626,1,480.202,475.026,1,471.770,475.702,1
5,0.267349,1,685.457,245.324,1,544.208,236.350,1,507.584,347.718,1,480.557,445.972,1,479.809,476.331,1,472.187,476.735,1
6,0.334186,1,685.498,245.284,1,544.211,236.357,1,507.897,348.457,1,485.372,446.964,1,485.454,476.611,1,476.801,477.654,1
7,0.401023,1,685.560,245.150,1,544.224,236.442,1,510.151,354.169,1,499.329,453.195,1,501.327,485.276,1,492.401,485.665,1
8,0.467860,1,685.617,245.050,1,545.504,236.265,1,521.492,354.635,1,527.104,457.927,1,538.060,492.376,1,525.432,493.702,1
9,0.534697,1,685.621,245.046,1,546.326,235.622,1,532.849,354.467,1,554.545,458.527,1,568.974,494.118,1,556.040,495.352,1
10,0.601535,1,685.184,245.053,1,547.292,234.085,1,539.389,349.013,1,587.771,444.739,1,614.618,474.507,1,596.745,479.200,1
11,0.668372,1,684.767,245.002,1,547.864,232.808,1,541.769,344.716,1,596.693,428.793,1,625.515,457.166,1,609.715,464.336,1
12,0.735209,1,684.267,244.744,1,548.744,230.738,1,547.048,335.457,1,609.865,402.694,1,641.316,425.476,1,628.845,435.530,1
13,0.802046,1,684.053,244.035,1,549.644,229.330,1,549.475,326.116,1,625.514,381.248,1,655.364,395.922,1,642.765,407.161,1
14,0.868883,1,683.555,243.384,1,550.634,228.464,1,550.857,323.391,1,628.392,371.869,1,659.857,383.914,1,647.868,397.999,1
15,0.935720,1,683.426,242.908,1,551.065,227.731,1,549.707,322.418,1,623.908,375.172,1,654.241,390.258,1,641.823,401.113,1
16,1.002558,1,683.262,242.616,1,551.002,226.987,1,547.625,325.477,1,612.184,389.620,1,642.550,409.593,1,629.060,417.765,1
17,1.069395,1,683.198,242.592,1,550.994,226.932,1,546.767,328.522,1,604.754,414.636,1,631.920,442.998,1,618.739,447.998,1
18,1.136232,1,683.221,242.441,1,550.971,227.070,1,542.127,332.540,1,585.929,442.850,1,606.888,477.250,1,591.318,478.605,1
19,1.203069,1,683.250,242.088,1,550.506,227.397,1,533.984,340.383,1,561.289,454.879,1,576.431,491.048,1,561.887,491.268,1
20,1.269906,1,683.506,241.677,1,549.688,228.503,1,525.650,346.298,1,534.068,456.609,1,545.335,492.220,1,532.100,491.893,1
21,1.336743,1,684.035,241.532,1,547.184,230.218,1,514.067,349.070,1,512.799,454.879,1,516.443,486.102,1,505.551,486.563,1
22,1.403581,1,685.286,241.405,1,546.432,230.739,1,508.629,347.998,1,495.552,449.810,1,498.673,479.741,1,489.680,481.226,1
23,1.470418,1,686.023,241.089,1,546.098,230.735,1,505.835,344.894,1,484.689,446.869,1,486.375,477.073,1,478.975,479.939,1
