frame_id,time_sec,frame_valid,shoulder_l_x,shoulder_l_y,shoulder_l_valid,shoulder_r_x,shoulder_r_y,shoulder_r_valid,elbow_x,elbow_y,elbow_valid,wrist_x,wrist_y,wrist_valid,finger1_x,finger1_y,finger1_valid,finger2_x,finger2_y,finger2_valid
1,0.000000,1,684.956,245.461,1,544.187,237.334,1,516.303,357.309,1,516.063,465.777,1,523.029,497.793,1,510.780,497.562,1
2,0.066837,1,684.972,245.454,1,544.187,237.263,1,512.531,353.903,1,497.653,454.269,1,498.232,485.537,1,487.780,485.628,1
3,0.100256,1,685.025,245.441,1,544.195,237.158,1,510.834,352.092,1,493.321,450.560,1,493.257,481.711,1,483.100,481.904,1
4,0.167093,1,685.216,245.371,1,544.198,236.865,1,508.608,350.152,1,484.154,447.473,1,484.569,476.574,1,476.096,477.318,1
5,0.200512,1,685.354,245.337,1,544.214,236.519,1,507.691,348.019,1,480.174,445.439,1,480.044,474.940,1,471.611,475.553,1
6,0.267349,1,685.474,245.326,1,544.215,236.330,1,507.411,347.660,1,480.451,445.857,1,479.650,476.202,1,472.048,476.578,1
7,0.300767,1,685.486,245.308,1,544.167,236.326,1,507.392,348.424,1,482.811,447.135,1,481.719,477.134,1,473.911,477.775,1
8,0.367604,1,685.505,245.272,1,544.156,236.403,1,507.629,352.760,1,493.147,454.456,1,490.684,486.404,1,479.348,485.401,1
9,0.401023,1,685.559,245.145,1,544.172,236.499,1,510.264,356.358,1,502.853,457.586,1,504.114,490.427,1,494.059,489.830,1
10,0.467860,1,685.609,245.055,1,545.474,236.320,1,521.736,356.333,1,528.024,460.287,1,538.793,494.649,1,526.013,495.405,1
11,0.501279,1,685.614,245.041,1,546.153,235.914,1,527.062,356.244,1,544.433,463.343,1,556.721,498.784,1,543.393,500.136,1
12,0.568116,1,685.206,245.036,1,547.004,234.131,1,535.711,350.624,1,574.655,453.258,1,597.420,487.877,1,579.220,490.772,1
13,0.601535,1,684.865,245.040,1,547.811,233.291,1,539.764,347.570,1,589.932,443.615,1,617.061,473.341,1,598.957,478.025,1
14,0.668372,1,684.506,244.984,1,548.077,232.433,1,541.612,344.114,1,596.928,428.642,1,625.634,457.217,1,609.909,464.174,1
15,0.701790,1,684.162,244.787,1,548.533,230.958,1,544.743,338.959,1,603.190,414.626,1,633.725,440.742,1,619.713,450.650,1
16,0.768627,1,684.064,244.460,1,549.230,229.377,1,547.908,328.456,1,617.179,389.897,1,647.738,406.035,1,635.681,416.464,1
17,0.802046,1,683.965,243.899,1,549.720,228.817,1,549.776,324.665,1,626.040,379.188,1,655.600,393.625,1,642.939,404.825,1
18,0.868883,1,683.477,243.286,1,550.522,228.240,1,550.577,323.091,1,628.053,371.594,1,659.306,383.651,1,647.426,397.668,1
19,0.902302,1,683.352,242.917,1,551.083,227.643,1,549.969,322.277,1,626.452,371.168,1,657.615,383.975,1,644.981,397.177,1
20,0.969139,1,683.339,242.672,1,551.042,226.913,1,548.607,323.186,1,617.866,380.504,1,648.372,397.850,1,636.140,407.589,1
21,1.002558,1,683.209,242.454,1,551.007,226.604,1,547.640,324.913,1,612.532,386.315,1,642.681,401.320,1,629.481,411.613,1
22,1.069395,1,683.125,242.402,1,550.987,226.504,1,546.518,329.632,1,611.777,416.341,1,639.933,444.875,1,621.264,449.044,1
23,1.102813,1,683.094,242.297,1,551.212,226.487,1,542.304,331.210,1,595.299,432.275,1,619.015,465.637,1,598.087,468.236,1
