frame_id,time_sec,update_ret,target_valid,major_fresh,finger_fresh,shoulder_l_x3d,shoulder_l_y3d,shoulder_l_z,shoulder_r_x3d,shoulder_r_y3d,shoulder_r_z,elbow_x3d,elbow_y3d,elbow_z,wrist_x3d,wrist_y3d,wrist_z,finger1_x3d,finger1_y3d,finger1_z,finger2_x3d,finger2_y3d,finger2_z,elbow_roll_deg,elbow_pitch_deg,wrist_pitch_deg,wrist_roll_deg,gripper_norm,target_frame_id,elbow_roll_observable,hand_fresh,body_frame_valid,raw_elbow_roll_deg,raw_elbow_pitch_deg,body_x_x,body_x_y,body_x_z,body_y_x,body_y_y,body_y_z,body_z_x,body_z_y,body_z_z,active_arm
1,0.000000,-1,0,1,1,0.923896,-0.600647,7.172828,-0.074719,-0.548432,7.166590,-0.548587,-1.128552,7.128931,-0.848570,-0.753955,6.690548,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,36.403992,33.449726,0.000000,0.000000,0.0,1,1,0,1,36.403992,33.449726,-0.998616,0.052215,-0.006238,0.052214,0.998636,0.000326,0.006246,0.000000,-0.999981,1
2,0.066831,-1,0,1,1,0.924266,-0.599595,7.172222,-0.074459,-0.549423,7.166590,-0.542492,-1.134406,7.130754,-0.848880,-0.756425,6.696131,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,36.731339,33.449726,0.000000,0.000000,0.0,2,1,0,1,37.170563,33.650810,-0.998648,0.051635,-0.006065,0.051634,0.998666,0.000314,0.006074,-0.000000,-0.999982,1
3,0.100247,-1,0,1,1,0.924417,-0.598453,7.172206,-0.073927,-0.549081,7.160566,-0.536857,-1.137202,7.113981,-0.844053,-0.753613,6.682453,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,36.917480,33.621029,0.000000,0.000000,0.0,3,1,0,1,37.497177,34.154518,-0.998660,0.051290,-0.006924,0.051288,0.998684,0.000351,0.006933,-0.000005,-0.999976,1
4,0.167078,-1,0,1,1,0.923507,-0.593710,7.168650,-0.071428,-0.547015,7.131526,-0.523602,-1.145298,7.066201,-0.832038,-0.747158,6.643546,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,37.670807,34.427326,0.000000,0.000000,0.0,4,1,0,1,38.681564,35.509171,-0.998627,0.050033,-0.015539,0.050027,0.998748,0.000763,0.015557,-0.000015,-0.999879,1
5,0.200494,-1,0,1,1,0.923207,-0.591656,7.166834,-0.070128,-0.546366,7.117399,-0.517278,-1.148720,7.044233,-0.827566,-0.744987,6.626254,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.101410,34.817436,0.000000,0.000000,0.0,5,1,0,1,39.442444,36.032345,-0.998566,0.049338,-0.020790,0.049328,0.998782,0.000994,0.020813,-0.000033,-0.999783,1
6,0.267325,-1,0,1,1,0.924268,-0.588499,7.167033,-0.067196,-0.547531,7.097524,-0.503091,-1.156408,7.011408,-0.822599,-0.744517,6.604578,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,39.642914,35.648968,0.000000,0.000000,0.0,6,1,0,1,41.711212,36.764668,-0.998289,0.047033,-0.034742,0.047007,0.998893,0.001570,0.034777,-0.000066,-0.999395,1
7,0.300741,-1,0,1,1,0.924575,-0.586825,7.163118,-0.065956,-0.547535,7.084210,-0.496863,-1.160054,6.992508,-0.819576,-0.743753,6.591373,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,40.395508,36.027111,0.000000,0.000000,0.0,7,1,0,1,42.739273,37.204754,-0.998080,0.045882,-0.041611,0.045846,0.998947,0.001811,0.041650,-0.000101,-0.999132,1
8,0.367572,-1,0,1,1,0.924101,-0.582740,7.144211,-0.062915,-0.545531,7.042958,-0.484714,-1.167707,6.941160,-0.810757,-0.739819,6.552687,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,42.297516,37.050743,0.000000,0.000000,0.0,8,1,0,1,44.849548,38.424198,-0.997322,0.043510,-0.058781,0.043444,0.999053,0.002403,0.058830,-0.000157,-0.998268,1
9,0.400988,-1,0,1,1,0.923465,-0.580882,7.133150,-0.061149,-0.543914,7.019720,-0.479487,-1.169210,6.913680,-0.806179,-0.736994,6.530626,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,43.140823,37.507187,0.000000,0.000000,0.0,9,1,0,1,45.767090,38.928680,-0.996821,0.042559,-0.067347,0.042477,0.999094,0.002658,0.067399,-0.000211,-0.997726,1
10,0.467819,-1,0,1,1,0.923654,-0.577631,7.109580,-0.056598,-0.539977,6.973211,-0.468955,-1.170680,6.859977,-0.798575,-0.731659,6.487706,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,45.184326,38.450600,0.000000,0.000000,0.0,10,1,0,1,47.926178,39.716419,-0.995320,0.041291,-0.087373,0.041158,0.999147,0.003318,0.087436,-0.000294,-0.996170,1
