frame_id,time_sec,frame_valid,shoulder_l_x,shoulder_l_y,shoulder_l_valid,shoulder_r_x,shoulder_r_y,shoulder_r_valid,elbow_x,elbow_y,elbow_valid,wrist_x,wrist_y,wrist_valid,finger1_x,finger1_y,finger1_valid,finger2_x,finger2_y,finger2_valid
1,0.000000,1,782.216,452.283,1,627.948,444.291,1,554.237,534.903,1,498.971,484.360,1,466.534,475.182,1,478.331,476.101,1
2,0.066831,1,782.607,451.578,1,628.141,445.027,1,558.993,538.836,1,499.854,485.315,1,466.599,475.313,1,478.913,476.330,1
3,0.100247,1,782.326,450.055,1,628.747,445.406,1,558.419,552.793,1,500.757,485.543,1,466.930,475.130,1,480.157,476.268,1
4,0.167078,1,782.239,449.444,1,629.307,445.869,1,559.262,549.761,1,501.047,485.791,1,466.985,474.858,1,480.437,476.229,1
5,0.200494,1,782.513,449.444,1,629.775,446.179,1,562.069,548.997,1,501.060,485.879,1,467.061,474.587,1,480.689,476.126,1
6,0.267325,1,782.830,449.450,1,630.016,446.678,1,564.170,547.842,1,501.289,486.147,1,467.105,474.588,1,481.084,476.126,1
7,0.300741,1,785.017,449.952,1,629.948,447.202,1,563.559,554.267,1,501.623,486.858,1,467.720,474.591,1,482.297,476.192,1
8,0.367572,1,785.043,449.979,1,630.456,447.186,1,563.064,556.716,1,501.655,486.864,1,468.075,474.358,1,482.688,476.065,1
9,0.400988,1,785.083,449.990,1,631.594,446.942,1,563.476,555.931,1,501.658,486.291,1,468.185,473.745,1,482.742,475.432,1
10,0.467819,1,786.197,449.973,1,632.108,446.380,1,564.871,555.459,1,501.480,486.259,1,468.051,473.586,1,482.672,475.308,1
11,0.501235,1,787.436,450.084,1,632.274,446.380,1,565.998,554.998,1,501.305,486.255,1,467.708,473.539,1,482.517,475.266,1
12,0.568066,1,787.244,448.923,1,632.286,445.909,1,568.761,554.487,1,501.300,486.352,1,467.417,473.618,1,482.488,475.278,1
13,0.601481,1,787.566,448.609,1,632.621,445.819,1,568.658,554.092,1,501.182,486.464,1,467.330,473.676,1,482.284,475.323,1
14,0.668313,1,787.685,447.582,1,632.681,445.812,1,569.283,553.969,1,501.012,486.583,1,467.020,473.678,1,482.005,475.328,1
15,0.701728,1,788.447,447.637,1,632.709,445.737,1,569.763,553.741,1,500.944,486.602,1,466.780,473.677,1,481.853,475.331,1
16,0.768560,1,789.178,447.898,1,632.731,445.512,1,570.625,553.622,1,500.939,486.601,1,466.480,473.679,1,481.791,475.342,1
17,0.801975,1,789.540,448.431,1,632.881,445.467,1,571.951,553.595,1,501.731,487.055,1,466.525,473.700,1,482.199,475.495,1
18,0.868807,1,790.553,449.296,1,632.971,445.462,1,571.878,553.437,1,502.524,487.105,1,466.861,473.632,1,483.005,475.498,1
19,0.902222,1,790.968,449.614,1,633.322,445.498,1,571.789,553.341,1,502.744,487.174,1,466.916,473.638,1,483.210,475.559,1
