frame_id,time_sec,frame_valid,shoulder_l_x,shoulder_l_y,shoulder_l_valid,shoulder_r_x,shoulder_r_y,shoulder_r_valid,elbow_x,elbow_y,elbow_valid,wrist_x,wrist_y,wrist_valid,finger1_x,finger1_y,finger1_valid,finger2_x,finger2_y,finger2_valid
1,0.000000,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
2,0.066820,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
3,0.133641,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
4,0.200461,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
5,0.267281,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
6,0.334102,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
7,0.400922,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
8,0.467742,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
9,0.534563,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
10,0.601383,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
11,0.668204,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
12,0.735024,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
13,0.801844,1,232.365,144.000,1,205.713,148.457,1,233.442,116.978,1,230.709,104.553,0,230.145,102.882,0,231.698,101.206,0
14,0.868665,1,230.742,143.289,1,203.104,144.108,1,230.669,116.982,1,223.438,104.439,0,221.130,101.911,0,222.873,100.984,0
15,0.935485,1,231.134,143.239,1,203.427,144.386,1,233.004,114.904,1,223.911,98.361,0,223.622,94.008,0,224.677,94.123,0
16,1.002305,1,231.175,143.184,1,203.624,144.969,1,233.990,114.154,1,227.074,94.324,0,225.741,89.549,0,226.996,89.587,0
17,1.069126,1,231.639,142.868,1,203.690,145.442,1,235.032,112.967,1,228.896,96.268,0,227.067,92.347,0,229.045,91.932,0
18,1.135946,1,231.833,142.888,1,204.552,145.720,1,235.631,111.841,1,229.279,97.581,0,227.161,93.988,0,229.332,93.420,0
19,1.202766,1,232.313,142.913,1,205.454,145.896,1,235.577,109.492,1,229.267,92.668,0,227.134,88.307,0,229.208,87.837,0
20,1.269587,1,233.412,143.036,1,206.225,145.937,1,235.433,109.606,1,228.616,93.610,0,226.381,90.513,0,228.373,89.395,0
21,1.336407,1,234.606,143.428,1,207.194,146.009,1,233.480,109.774,1,226.943,95.995,0,225.075,94.402,0,226.808,92.052,0
22,1.403227,1,236.451,143.769,1,207.331,146.631,1,234.012,112.146,1,230.315,101.780,0,228.874,99.831,0,231.656,98.115,0
23,1.470048,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
24,1.536868,1,288.687,109.914,1,258.363,81.908,1,278.859,168.753,1,250.609,207.817,1,243.191,217.631,0,250.584,218.232,0
25,1.603688,1,272.989,94.564,1,237.413,78.469,1,267.329,156.619,1,250.374,207.794,1,238.317,217.320,1,248.500,218.285,1
26,1.670509,1,273.623,98.893,1,237.862,85.301,1,266.872,157.166,1,246.392,208.638,1,233.146,216.826,1,241.015,218.694,1
27,1.737329,1,273.217,108.191,1,237.326,90.423,1,264.498,166.042,1,241.735,208.896,1,230.459,216.183,1,234.428,218.742,1
28,1.804150,1,270.543,125.700,1,238.340,95.064,1,263.963,178.099,1,235.060,211.419,1,222.216,216.198,1,227.708,219.204,1
29,1.870970,1,267.208,135.787,1,241.050,97.104,1,259.759,185.241,1,230.630,212.692,1,217.541,216.011,1,221.905,219.231,1
30,1.937790,1,263.084,129.197,1,237.635,94.599,1,259.618,186.465,1,229.078,213.351,1,216.608,215.603,1,221.362,219.276,1
31,2.004611,1,266.994,137.172,1,239.011,99.668,1,261.111,189.354,1,228.123,214.145,1,213.069,215.561,1,218.155,219.410,1
32,2.071431,1,266.379,142.626,1,242.287,102.758,1,261.441,191.850,1,225.940,214.132,1,211.272,214.730,1,215.478,219.272,1
33,2.138251,1,267.915,148.126,1,254.294,110.206,1,262.124,195.524,1,224.235,213.844,1,210.368,213.958,1,214.014,218.745,1
34,2.205072,1,268.674,149.771,1,258.765,113.593,1,261.407,197.421,1,223.427,214.050,1,209.148,213.612,1,212.276,218.466,1
35,2.271892,1,267.988,147.534,1,261.740,116.250,1,261.830,196.773,1,224.254,213.904,1,209.256,213.503,1,212.924,218.466,1
36,2.338712,1,268.468,149.317,1,263.593,116.318,1,261.969,198.541,1,224.087,214.175,1,208.595,213.351,1,211.027,218.496,1
37,2.405533,1,268.648,150.033,1,262.341,118.627,1,260.564,198.025,1,222.124,216.036,1,206.887,214.673,1,209.515,221.139,1
38,2.472353,1,267.163,149.110,1,263.555,120.948,1,259.450,197.422,1,222.119,217.190,1,206.595,215.321,1,208.993,223.112,1
39,2.539173,1,266.731,147.686,1,264.598,119.220,1,258.616,196.161,1,221.717,216.794,1,205.138,215.280,1,206.181,222.985,1
40,2.605994,1,265.975,148.298,1,267.150,119.887,1,256.573,197.411,1,219.917,217.085,1,203.058,215.418,1,204.155,223.068,1
41,2.672814,1,265.634,148.074,1,265.700,120.760,1,255.085,197.791,1,217.943,216.869,1,200.002,213.752,1,202.201,222.582,1
