frame_id,parser_ret,pose_valid,f1_valid,f2_valid,elbow_valid,wrist_valid,sl_valid,sr_valid,agent1_ret,target_valid,base_deg,shoulder_deg,elbow_deg,wrist_pitch_deg,wrist_roll_deg
1,1,1,1,1,1,1,1,1,1,1,67.714409,76.963593,165.819260,54.848621,65.560059
2,1,1,1,1,1,1,1,1,1,1,66.623917,76.963593,165.819260,55.310555,65.560059
3,1,1,1,1,1,1,1,1,1,1,63.927986,76.596359,165.390259,56.321350,65.894585
4,1,1,1,1,1,1,1,1,1,1,60.011990,75.970337,164.503891,57.767719,72.512894
5,1,1,1,1,1,1,1,1,1,1,55.336960,75.065506,163.134705,59.329437,84.275932
6,1,1,1,1,1,1,1,1,1,1,50.601162,73.969749,161.403305,60.882477,100.251114
7,1,1,1,1,1,1,1,1,1,1,46.220856,72.804436,159.497833,62.271030,119.674911
8,1,1,1,1,1,1,1,1,1,1,42.872883,71.870140,157.742538,63.523060,140.080460
9,1,1,1,1,1,1,1,1,1,1,40.912796,71.392296,156.287872,64.981163,156.564270
10,1,1,1,1,1,1,1,1,1,1,39.473690,71.392296,155.077454,66.176910,168.962753
11,1,1,1,1,1,1,1,1,1,1,37.947567,71.847267,154.215714,66.176910,177.105392
12,1,1,1,1,1,1,1,1,1,1,34.779373,72.396370,153.127121,64.798424,179.978165
13,1,1,1,1,1,1,1,1,1,1,29.701546,72.821724,151.569061,61.754013,177.314667
14,1,1,1,1,1,1,1,1,1,1,23.201277,72.821724,149.120941,58.225136,170.852402
15,1,1,1,1,1,1,1,1,1,1,15.872108,72.594566,145.706100,55.281139,162.635773
16,1,1,1,1,1,1,1,1,1,1,8.229022,71.667358,141.123413,53.677410,153.636230
17,1,1,1,1,1,1,1,1,1,1,0.970824,70.054131,135.595062,53.138821,144.303925
18,1,1,1,1,1,1,1,1,1,1,-5.437679,67.916344,129.534164,53.703388,135.017029
19,1,1,1,1,1,1,1,1,1,1,-10.781406,65.468979,123.444710,55.162830,126.041206
20,1,1,1,1,1,1,1,1,1,1,-15.063030,62.972397,117.955322,57.369133,117.607300
21,1,1,1,1,1,1,1,1,1,1,-18.391216,60.646324,113.349777,60.270222,109.859558
22,1,1,1,1,1,1,1,1,1,1,-20.921738,58.698414,110.434090,61.988010,102.827057
23,1,1,1,1,1,1,1,1,1,1,-22.654266,57.168640,109.627045,61.442932,96.629982
24,1,1,1,1,1,1,1,1,1,1,-23.606894,56.103600,110.814835,59.199493,91.581146
25,1,1,1,1,1,1,1,1,1,1,-23.781788,55.585712,113.317734,56.535248,88.059433
26,1,1,1,1,1,1,1,1,1,1,-23.123987,55.777580,116.814796,53.479992,86.445282
27,1,1,1,1,1,1,1,1,1,1,-21.478914,56.779301,120.948769,50.536228,87.055923
28,1,1,1,1,1,1,1,1,1,1,-18.794088,58.305943,126.344154,46.188404,88.819565
29,1,1,1,1,1,1,1,1,1,1,-15.127714,60.069691,132.546631,41.575279,90.908005
30,1,1,1,1,1,1,1,1,1,1,-10.740238,61.703396,138.844833,37.564117,86.273453
31,1,1,1,1,1,1,1,1,1,1,-6.022209,63.003807,144.721832,34.589954,81.522369
32,1,1,1,1,1,1,1,1,1,1,-1.395828,63.959469,149.929520,32.723866,78.638039
33,1,1,1,1,1,1,1,1,1,1,2.836958,64.590660,154.322815,31.764509,77.078857
34,1,1,1,1,1,1,1,1,1,1,6.939045,65.277252,158.228455,31.537508,69.457886
35,1,1,1,1,1,1,1,1,1,1,11.073940,66.131371,161.779724,31.865320,56.873940
36,1,1,1,1,1,1,1,1,1,1,14.638388,67.059097,164.343796,32.521008,41.118080
37,1,1,1,1,1,1,1,1,1,1,17.295481,68.116470,165.602875,33.484215,34.562698
38,1,1,1,1,1,1,1,1,1,1,18.044359,69.150269,165.298813,35.164677,35.540028
39,1,1,1,1,1,1,1,1,1,1,16.509214,69.984901,163.824722,36.463608,41.098202
40,1,1,1,1,1,1,1,1,1,1,12.959405,70.565086,161.424576,36.685024,47.632385
41,1,1,1,1,1,1,1,1,1,1,7.809098,70.770058,157.880722,37.243492,54.854137
42,1,1,1,1,1,1,1,1,1,1,1.544237,70.248695,152.959564,38.510925,61.145294
43,1,1,1,1,1,1,1,1,1,1,-4.890957,68.887520,146.805588,40.923824,65.918388
44,1,1,1,1,1,1,1,1,1,1,-10.647808,66.767700,139.692307,44.362713,69.068977
45,1,1,1,1,1,1,1,1,1,1,-15.409601,64.125626,132.153748,48.640373,70.756149
46,1,1,1,1,1,1,1,1,1,1,-19.214294,61.253639,124.948074,53.341778,71.275345
47,1,1,1,1,1,1,1,1,1,1,-22.138571,58.436672,118.574562,57.894135,70.964424
48,1,1,1,1,1,1,1,1,1,1,-24.370058,56.008995,113.609329,61.312859,70.118004
49,1,1,1,1,1,1,1,1,1,1,-26.051910,54.165157,110.507385,63.150806,69.005409
50,1,1,1,1,1,1,1,1,1,1,-27.147171,53.026413,109.520531,63.327408,68.098122
51,1,1,1,1,1,1,1,1,1,1,-27.632408,52.551006,110.542320,61.509296,67.836403
52,1,1,1,1,1,1,1,1,1,1,-27.334450,52.802860,113.250191,57.997070,68.737549
53,1,1,1,1,1,1,1,1,1,1,-26.171688,53.756855,116.956573,53.707260,71.169250
54,1,1,1,1,1,1,1,1,1,1,-23.913301,55.215694,120.586754,51.375221,75.831909
55,1,1,1,1,1,1,1,1,1,1,-20.639912,56.909554,125.729263,46.884167,81.073326
56,1,1,1,1,1,1,1,1,1,1,-16.588993,58.476742,131.372650,42.104652,86.880928
57,1,1,1,1,1,1,1,1,1,1,-12.150789,59.631607,136.585052,38.635830,85.291367
58,1,1,1,1,1,1,1,1,1,1,-7.761418,60.265682,140.507812,38.185989,80.379784
59,1,1,1,1,1,1,1,1,1,1,-3.825859,60.265682,143.308914,39.672482,77.370399
60,1,1,1,1,1,1,1,1,1,1,-0.553416,60.015087,145.225388,42.026924,75.790901
61,1,1,1,1,1,1,1,1,1,1,2.042078,59.558998,146.470123,44.671421,75.254211
62,1,1,1,1,1,1,1,1,1,1,4.326107,59.373810,148.180771,45.963150,68.470383
63,1,1,1,1,1,1,1,1,1,1,6.363293,59.654831,150.550598,45.963150,56.571831
64,1,1,1,1,1,1,1,1,1,1,7.917496,60.490681,153.155640,45.170197,53.174545
65,1,1,1,1,1,1,1,1,1,1,8.820518,61.795254,155.425461,44.376640,56.737507
66,1,1,1,1,1,1,1,1,1,1,8.649922,63.393410,156.906464,43.741531,59.963516
67,1,1,1,1,1,1,1,1,1,1,7.140514,64.951080,157.199356,43.520325,61.680641
68,1,1,1,1,1,1,1,1,1,1,4.042649,66.281914,156.734573,41.470776,61.680641
69,1,1,1,1,1,1,1,1,1,1,-0.502463,67.106339,154.434692,40.224964,67.727097
70,1,1,1,1,1,1,1,1,1,1,-6.035170,67.106339,150.175369,39.075394,72.100929
71,1,1,1,1,1,1,1,1,1,1,-11.806623,65.934052,144.381699,38.242001,74.481117
72,1,1,1,1,1,1,1,1,1,1,-17.339550,63.935913,137.557404,37.903107,75.190956
73,1,1,1,1,1,1,1,1,1,1,-22.357771,61.321838,130.438019,37.517967,74.549789
74,1,1,1,1,1,1,1,1,1,1,-26.695557,58.424381,123.819153,38.278030,72.977470
75,1,1,1,1,1,1,1,1,1,1,-30.149139,55.593384,118.270889,40.398979,70.866310
76,1,1,1,1,1,1,1,1,1,1,-32.742840,53.088802,114.159912,42.708538,68.548729
77,1,1,1,1,1,1,1,1,1,1,-34.660675,51.166935,111.759033,43.963192,66.275078
78,1,1,1,1,1,1,1,1,1,1,-35.801712,49.983784,111.429893,43.963192,64.235069
79,1,1,1,1,1,1,1,1,1,1,-36.032764,49.790192,112.971252,43.070724,63.092430
80,1,1,1,1,1,1,1,1,1,1,-35.436886,50.415749,115.789688,41.328686,63.092430
81,1,1,1,1,1,1,1,1,1,1,-34.104202,51.652637,119.378502,39.551205,64.437897
82,1,1,1,1,1,1,1,1,1,1,-31.955870,53.338215,123.893356,36.250854,67.085518
83,1,1,1,1,1,1,1,1,1,1,-28.925629,55.256401,129.207397,32.315132,70.185486
84,1,1,1,1,1,1,1,1,1,1,-25.007008,57.144062,135.033569,28.295708,72.469513
85,1,1,1,1,1,1,1,1,1,1,-20.362812,58.821892,141.024887,24.759363,69.418381
86,1,1,1,1,1,1,1,1,1,1,-15.406616,60.041538,146.648743,22.011124,68.236786
87,1,1,1,1,1,1,1,1,1,1,-10.658047,60.674347,151.418671,20.441809,60.924957
88,1,1,1,1,1,1,1,1,1,1,-6.447340,60.868229,155.243057,20.062689,48.594112
89,1,1,1,1,1,1,1,1,1,1,-2.926717,60.868229,158.192490,20.577230,33.626812
90,1,1,1,1,1,1,1,1,1,1,0.014480,60.868229,160.520615,21.886629,21.618216
91,1,1,1,1,1,1,1,1,1,1,2.617806,60.868229,162.448090,23.913410,11.930641
92,1,1,1,1,1,1,1,1,1,1,4.544136,61.445026,163.937103,26.228241,4.262733
93,1,1,1,1,1,1,1,1,1,1,5.539392,62.346462,164.613617,29.085163,-1.930197
94,1,1,1,1,1,1,1,1,1,1,5.539392,63.453869,164.430313,32.011475,-0.656115
95,1,1,1,1,1,1,1,1,1,1,4.096302,64.512505,163.288986,34.830349,6.731438
96,1,1,1,1,1,1,1,1,1,1,1.402457,65.319466,161.305908,36.500702,17.085674
97,1,1,1,1,1,1,1,1,1,1,-2.357828,65.682716,159.392303,35.258083,24.894203
98,1,1,1,1,1,1,1,1,1,1,-6.901729,65.428123,155.364944,36.146214,35.248680
99,1,1,1,1,1,1,1,1,1,1,-11.642550,64.368217,149.535950,38.724403,44.648834
100,1,1,1,1,1,1,1,1,1,1,-16.227928,62.547764,142.543320,42.173866,51.904434
101,1,1,1,1,1,1,1,1,1,1,-20.338978,60.216595,135.168610,46.172886,56.949516
102,1,1,1,1,1,1,1,1,1,1,-23.789604,57.616165,128.093765,50.631798,60.180557
103,1,1,1,1,1,1,1,1,1,1,-26.540234,55.048454,121.856590,55.073460,62.046791
104,1,1,1,1,1,1,1,1,1,1,-28.706068,52.849560,116.880028,58.928612,63.008701
105,1,1,1,1,1,1,1,1,1,1,-30.397509,51.309917,113.640366,61.379921,63.391220
