frame_id,time_sec,update_ret,target_valid,major_fresh,finger_fresh,shoulder_l_x3d,shoulder_l_y3d,shoulder_l_z,shoulder_r_x3d,shoulder_r_y3d,shoulder_r_z,elbow_x3d,elbow_y3d,elbow_z,wrist_x3d,wrist_y3d,wrist_z,finger1_x3d,finger1_y3d,finger1_z,finger2_x3d,finger2_y3d,finger2_z,elbow_roll_deg,elbow_pitch_deg,wrist_pitch_deg,wrist_roll_deg,gripper_norm,target_frame_id,elbow_roll_observable,hand_fresh,body_frame_valid,raw_elbow_roll_deg,raw_elbow_pitch_deg,body_x_x,body_x_y,body_x_z,body_y_x,body_y_y,body_y_z,body_z_x,body_z_y,body_z_z,active_arm
1,0.000000,-1,0,1,1,0.533266,-0.242872,7.201028,-0.410669,-0.214839,6.872082,-0.406228,-0.968064,6.764556,-0.285321,-0.626592,6.224852,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.565918,31.493259,0.000000,0.000000,0.0,1,1,0,1,7.565918,31.493259,-0.943933,0.028033,-0.328945,0.026471,0.999607,0.009225,0.329074,0.000000,-0.944304,1
2,0.066667,-1,0,1,1,0.533452,-0.244551,7.190444,-0.409904,-0.215210,6.860737,-0.404874,-0.965862,6.753355,-0.285212,-0.628308,6.212306,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.565918,31.493259,0.000000,0.000000,0.0,2,1,0,1,7.735931,31.143068,-0.943838,0.028406,-0.329185,0.026821,0.999597,0.009355,0.329318,0.000000,-0.944219,1
3,0.100000,-1,0,1,1,0.533968,-0.245909,7.185079,-0.409897,-0.215736,6.856000,-0.405190,-0.965774,6.748616,-0.285960,-0.629780,6.206924,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.565918,31.493259,0.000000,0.000000,0.0,3,1,0,1,7.797256,31.004856,-0.943836,0.028677,-0.329167,0.027122,0.999589,0.009315,0.329298,-0.000136,-0.944226,1
4,0.166667,-1,0,1,1,0.535312,-0.249301,7.170408,-0.410483,-0.217058,6.844281,-0.406918,-0.966661,6.736724,-0.289064,-0.632764,6.193865,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.565918,31.197981,0.000000,0.000000,0.0,4,1,0,1,7.930984,30.800522,-0.944136,0.029679,-0.328217,0.028100,0.999560,0.009553,0.328356,-0.000204,-0.944554,1
5,0.200000,-1,0,1,1,0.535788,-0.250581,7.161889,-0.411611,-0.217564,6.838387,-0.407327,-0.967107,6.730759,-0.290394,-0.633830,6.187384,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.565918,31.197981,0.000000,0.000000,0.0,5,1,0,1,8.001556,30.742096,-0.944399,0.030183,-0.327412,0.028632,0.999544,0.009557,0.327551,-0.000349,-0.944833,1
6,0.266667,-1,0,1,1,0.536245,-0.252365,7.137625,-0.414800,-0.218059,6.820945,-0.406442,-0.967360,6.713200,-0.292302,-0.634291,6.168987,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.810181,31.197981,0.000000,0.000000,0.0,6,1,0,1,8.138962,30.707150,-0.945501,0.031324,-0.324109,0.029767,0.999509,0.009762,0.324256,-0.000418,-0.945969,1
7,0.300000,-1,0,1,1,0.536578,-0.252917,7.124880,-0.416055,-0.218174,6.811660,-0.405464,-0.967780,6.703813,-0.292878,-0.634281,6.159332,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.810181,31.197981,0.000000,0.000000,0.0,7,1,0,1,8.209869,30.744757,-0.946110,0.031831,-0.322278,0.030313,0.999493,0.009729,0.322424,-0.000564,-0.946595,1
8,0.366667,-1,0,1,1,0.537357,-0.253431,7.095294,-0.417788,-0.218100,6.788536,-0.402303,-0.969271,6.680308,-0.293770,-0.634064,6.135534,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.052719,31.197981,0.000000,0.000000,0.0,8,1,0,1,8.379196,30.889135,-0.947672,0.032786,-0.317558,0.031287,0.999462,0.009820,0.317710,-0.000629,-0.948188,1
9,0.400000,-1,0,1,1,0.537350,-0.253357,7.078966,-0.417942,-0.217794,6.773873,-0.400784,-0.969561,6.665408,-0.293838,-0.633592,6.120547,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.052719,31.197981,0.000000,0.000000,0.0,9,1,0,1,8.434113,30.960266,-0.948349,0.033194,-0.315488,0.031740,0.999449,0.009746,0.315637,-0.000771,-0.948880,1
10,0.466667,-1,0,1,1,0.536938,-0.252195,7.042461,-0.418385,-0.217079,6.739846,-0.397941,-0.971275,6.630648,-0.293767,-0.632888,6.086017,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.052719,31.197981,0.000000,0.000000,0.0,10,1,0,1,8.504745,31.174726,-0.949611,0.033713,-0.311612,0.032292,0.999431,0.009719,0.311763,-0.000834,-0.950160,1
11,0.500000,-1,0,1,1,0.536274,-0.251363,7.022398,-0.418269,-0.216764,6.719631,-0.396302,-0.971308,6.610092,-0.293335,-0.632102,6.065539,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.052719,31.197981,0.000000,0.000000,0.0,11,1,0,1,8.546860,31.255709,-0.950081,0.033838,-0.310163,0.032469,0.999427,0.009579,0.310310,-0.000970,-0.950635,1
