frame_id,time_sec,frame_valid,shoulder_l_x,shoulder_l_y,shoulder_l_valid,shoulder_r_x,shoulder_r_y,shoulder_r_valid,elbow_x,elbow_y,elbow_valid,wrist_x,wrist_y,wrist_valid,finger1_x,finger1_y,finger1_valid,finger2_x,finger2_y,finger2_valid
1,0.000000,1,721.552,396.870,1,573.287,394.139,1,572.962,518.064,1,588.714,471.031,1,593.740,434.699,1,596.242,440.975,1
2,0.066667,1,722.869,398.661,1,572.818,394.988,1,572.962,518.878,1,587.806,474.719,1,590.393,437.558,1,592.395,441.573,1
3,0.100000,1,723.564,399.727,1,572.484,395.512,1,571.124,520.021,1,586.184,475.292,1,587.912,438.038,1,589.586,441.495,1
4,0.166667,1,723.718,399.794,1,572.069,395.502,1,571.013,520.617,1,585.518,475.143,1,586.629,437.976,1,588.283,441.297,1
5,0.200000,1,724.108,399.843,1,569.961,395.495,1,571.801,520.869,1,585.519,475.157,1,586.162,437.917,1,587.849,441.079,1
6,0.266667,1,724.429,399.866,1,569.706,395.498,1,572.163,521.555,1,585.555,475.092,1,586.118,437.847,1,587.945,440.564,1
7,0.300000,1,725.316,399.953,1,569.614,395.597,1,572.975,523.178,1,585.524,475.564,1,585.710,438.068,1,587.632,440.642,1
8,0.366667,1,725.531,399.958,1,569.636,395.646,1,572.982,524.072,1,585.059,476.260,1,585.378,438.488,1,587.237,440.910,1
9,0.400000,1,725.832,399.974,1,569.403,395.708,1,572.168,526.235,1,584.620,477.621,1,584.780,439.179,1,586.623,441.593,1
10,0.466667,1,725.954,399.551,1,568.709,395.838,1,572.177,527.216,1,584.530,477.913,1,584.362,439.356,1,586.307,441.866,1
11,0.500000,1,726.206,399.531,1,567.922,396.550,1,572.130,528.996,1,584.235,479.304,1,584.025,439.860,1,585.947,442.485,1
12,0.566667,1,726.353,399.541,1,567.609,396.976,1,571.950,529.756,1,583.918,480.957,1,583.851,440.803,1,585.743,443.416,1
13,0.600000,1,726.345,399.212,1,567.319,397.013,1,571.970,529.456,1,583.925,481.428,1,583.889,441.161,1,585.822,443.729,1
14,0.666667,1,726.373,399.141,1,567.285,396.763,1,572.076,530.193,1,583.924,481.266,1,583.945,441.119,1,585.848,443.715,1
15,0.700000,1,726.367,399.141,1,567.213,396.257,1,572.225,530.479,1,583.942,481.105,1,583.993,441.089,1,585.869,443.706,1
16,0.766667,1,726.440,399.139,1,567.210,396.057,1,572.611,531.986,1,584.050,481.017,1,584.030,441.064,1,585.888,443.697,1
17,0.800000,1,726.439,399.115,1,567.219,395.953,1,572.839,532.445,1,584.158,480.898,1,584.054,440.971,1,585.886,443.589,1
18,0.866667,1,726.436,399.130,1,567.282,395.779,1,572.914,532.729,1,584.167,480.828,1,584.042,440.953,1,585.805,443.577,1
19,0.900000,1,726.437,399.199,1,567.407,395.394,1,572.922,532.964,1,584.126,480.759,1,583.915,440.940,1,585.536,443.561,1
20,0.966667,1,726.435,399.203,1,567.414,395.115,1,572.941,532.886,1,584.130,481.366,1,583.858,441.224,1,585.420,443.859,1
21,1.000000,1,726.479,399.206,1,567.479,395.000,1,572.910,532.828,1,583.863,483.603,1,583.807,442.711,1,585.307,445.042,1
22,1.066667,1,726.581,399.206,1,567.681,394.969,1,572.913,532.717,1,583.869,484.644,1,583.832,443.910,1,585.329,446.044,1
23,1.100000,1,726.703,399.234,1,567.785,394.978,1,572.672,532.611,1,583.815,485.349,1,583.836,444.428,1,585.334,446.512,1
24,1.166667,1,726.769,399.398,1,567.792,395.086,1,571.767,532.670,1,583.585,486.133,1,583.783,444.881,1,585.281,446.933,1
25,1.200000,1,726.797,399.523,1,567.799,395.170,1,570.908,532.785,1,583.502,486.412,1,583.780,445.100,1,585.281,447.131,1
26,1.266667,1,726.802,399.539,1,568.012,395.224,1,570.800,532.752,1,584.013,485.981,1,584.317,444.775,1,585.855,447.079,1
27,1.300000,1,726.803,399.560,1,568.136,395.269,1,570.669,532.726,1,584.358,485.865,1,584.695,444.667,1,586.252,447.055,1
28,1.366667,1,726.806,399.566,1,568.291,395.321,1,570.655,532.706,1,584.660,485.824,1,584.897,444.648,1,586.512,447.034,1
29,1.400000,1,726.810,399.568,1,568.438,395.335,1,570.663,532.690,1,584.895,485.733,1,585.027,444.607,1,586.672,447.052,1
30,1.466667,1,726.819,399.629,1,568.449,395.337,1,570.643,532.792,1,584.885,487.214,1,585.009,445.949,1,586.667,447.954,1
